x2 R' M D M' F' D' M D F M D' R  (12sq) 
x2 L' F R' D F M F' D' L M D' R  (12sq) 
x2 R' M D' M' F' D M D' F M D R  (12sq) 
L R F' M' M' F M' F' M' F L R  (12sq) 
x2 L' R' F' M' F M' M' F' M F L R  (12sq) 
L R F M F M' M' F M F L R  (12sq) 
x2 F D M' U' F' M' M' F U M D' F'  (12sq) 
x2 F D' M' U' F' M' M' F U M D F'  (12sq) 
x2 F' F' M F' L' F U' M U F' L F'  (12sq) 
x2 M' M' F L' F' M U M' U' F L F'  (12sq) 
x2 M F R' M D F' M F D' R M' F'  (12sq) 
B M' D' B' L' L' R' R' F U M F'  (12sq) 
x2 M U' M' M' U F M' U' M' U M F'  (12sq) 
x2 M' U' M' U M' F M' U' M U M F'  (12sq) 
x2 F' U' F M' F' L F M' F' L' U F  (12sq) 
x2 F' U' F' M' F L F M' F' L' U F  (12sq) 
x2 F' D M' U' F M' M' F' U M D' F  (12sq) 
x2 F' D' M' U' F M' M' F' U M D F  (12sq) 
B' M' D' B L' L' R' R' F' U M F  (12sq) 
x2 M U' M' M' U F' M' U' M' U M F  (12sq) 
x2 M' U' M' U M' F' M' U' M U M F  (12sq) 
x2 M' D R F' R D' M' D R' F R' D'  (12sq) 
x2 M D R' B R' D M D' R B' R D'  (12sq) 
x2 U' M' U' M' D' D' U' M' U' M D' D'  (12sq) 
x2 L U' M' U' M' U M U' M' U' U' L'  (12sq) 
x2 L M F L' F U' M U F' L F' L'  (12sq) 
x2 R U R' M F U' M U F' L F' L'  (12sq) 
R D L' D F' M F D' R M' F' L'  (12sq) 
x2 L F M' U' F' M' M' F U M F' L'  (12sq) 
x2 L F' M' U' F M' M' F' U M F L'  (12sq) 
x2 L' U' M' U' M' U M U' M' U' U' L  (12sq) 
x2 L' M F L' F U' M U F' L F' L  (12sq) 
x2 L' F M' U' F' M' M' F U M F' L  (12sq) 
x2 L' F' M' U' F M' M' F' U M F L  (12sq) 
x2 B U B M' B' L' B' M' B L U' B'  (12sq) 
x2 B' B' U' M' U' M' U M U M' B' B'  (12sq) 
x2 M' M' B M U' B' M B M' U M' B'  (12sq) 
x2 M' U' M U B M U' M' M' U M' B'  (12sq) 
x2 U' M' U M' M' B M U' M U M' B'  (12sq) 
x2 M' U' M U B' L' B' M' M' B L B  (12sq) 
x2 M' M' B' M U' B M B' M' U M' B  (12sq) 
x2 M' U' M U B' M U' M' M' U M' B  (12sq) 
x2 U' M' U M' M' B' M U' M U M' B  (12sq) 
x2 F' F' U' M' U M' U' M U F' F' M'  (12sq) 
x2 R B D M B M' B' M' D' B' R' M'  (12sq) 
x2 R B D' M B M' B' M' D B' R' M'  (12sq) 
L' L' R' B' M' B M B' M B R' M'  (12sq) 
x2 R M' M' B' M' B M B' M B R' M'  (12sq) 
x2 L R B M B M' B' M' B' L' R' M'  (12sq) 
L' R' B' M' B M B' M B L' R' M'  (12sq) 
R' B' M' B M B' M B L' L' R' M'  (12sq) 
x2 R U M' B' U' M' U B M U' R' M'  (12sq) 
x2 R U' M' B' U M' U' B M U R' M'  (12sq) 
x2 U' M' U' D' D' M U' M' U' D' D' M'  (12sq) 
x2 B D R D' B' M' B D R' D' B' M'  (12sq) 
x2 B D M U B M' B' U' M' D' B' M'  (12sq) 
x2 B D' R D' B' M' B D R' D B' M'  (12sq) 
x2 B D' M U B M' B' U' M' D B' M'  (12sq) 
x2 B U L' D B M' B' D' L U' B' M'  (12sq) 
x2 M' U' M' U B M U' M U M' B' M'  (12sq) 
x2 B L M B' U' M' U B L' M' B' M'  (12sq) 
x2 B' D M U B' M' B U' M' D' B M'  (12sq) 
x2 B' D' M U B' M' B U' M' D B M'  (12sq) 
x2 M' U' M' U B' M U' M U M' B M'  (12sq) 
x2 L B R D' B' M' B D R' B' L' M'  (12sq) 
x2 L B M U B M' B' U' M' B' L' M'  (12sq) 
x2 L B' M U B' M' B U' M' B L' M'  (12sq) 
x2 L' L' U' M' U M' U' M U L' L' M'  (12sq) 
x2 L U' F M' U M' U' M F' U L' M'  (12sq) 
x2 L U' F' M' U M' U' M F U L' M'  (12sq) 
x2 L M' U' M U M U' M' M' U L' M'  (12sq) 
x2 L' B R D' B' M' B D R' B' L M'  (12sq) 
x2 L' B M U B M' B' U' M' B' L M'  (12sq) 
x2 L' B' M U B' M' B U' M' B L M'  (12sq) 
x2 L' U' F M' U M' U' M F' U L M'  (12sq) 
x2 L' U' F' M' U M' U' M F U L M'  (12sq) 
x2 L' M' U' M U M U' M' M' U L M'  (12sq) 
x2 M' U B' B' M' U' M U B' B' U' M'  (12sq) 
x2 M' U M' U M' U M U' U' M U' M'  (12sq) 
x2 U M' B' B' U' M' U B' B' M U' M'  (12sq) 
x2 U' F' F' M' U M' U' M F' F' U M'  (12sq) 
M' D' M D M D' L' L' R' R' U M'  (12sq) 
x2 U' B U M B' M' B M' U' B' U M'  (12sq) 
x2 U' B' U M B M' B' M' U' B U M'  (12sq) 
x2 U' L' B M' B' M' B M B' L U M'  (12sq) 
D' M' D M' D' L' L' R' R' M' U M'  (12sq) 
x2 M' U' B M U M U' M' B' M' U M'  (12sq) 
x2 M' U' B' M U M U' M' B M' U M'  (12sq) 
x2 U' M U M' U' M' U M U' M' U M'  (12sq) 
x2 F M' U' M U M F' U' M' M' U M'  (12sq) 
x2 F' M' U' M U M F U' M' M' U M'  (12sq) 
x2 U' U' M' U M U M U' M' M' U M'  (12sq) 
x2 B' B' U' M' U M' B' B' U' M U M'  (12sq) 
x2 M' B M U' M' U M' B' U' M U M'  (12sq) 
x2 M' B' M U' M' U M' B U' M U M'  (12sq) 
x2 M U' U' M' U M' U M' U' M U M'  (12sq) 
x2 M' U' U' M U M' U M' U' M U M'  (12sq) 
D' L' L' R' R' M U M' U' M U M'  (12sq) 
D' M' D L' L' R' R' M U' M U M'  (12sq) 
x2 U M U' M' U' U' M' M' U M U M'  (12sq) 
x2 R B' M' M' B M' B' M' B R' M' M'  (12sq) 
x2 R B M B M' M' B M B R' M' M'  (12sq) 
x2 R' F' M F M F' M' M' F R M' M'  (12sq) 
x2 R' M F' M' F M' F' M F R M' M'  (12sq) 
x2 M' B R D' B' M B D R' B' M' M'  (12sq) 
x2 B M U' M B' M' B U M' B' M' M'  (12sq) 
x2 B' M U' M B M' B' U M' B M' M'  (12sq) 
x2 M U B M U M' U' M' B' U' M' M'  (12sq) 
x2 M U B' M U M' U' M' B U' M' M'  (12sq) 
x2 U M U M U' M' U M' U' U' M' M'  (12sq) 
x2 U' U' M U' M U M' U' M' U' M' M'  (12sq) 
x2 M' U' F M' U M U' M F' U M' M'  (12sq) 
x2 M' U' F' M' U M U' M F U M' M'  (12sq) 
x2 F M' U' M' U M F' U' M U M' M'  (12sq) 
x2 F' M' U' M' U M F U' M U M' M'  (12sq) 
x2 U' U' M' U M' U M U' M U M' M'  (12sq) 
x2 L M U M U M' U' M' U' L' M' M'  (12sq) 
x2 L M' U' M' U M U' M U L' M' M'  (12sq) 
x2 L' M U M U M' U' M' U' L M' M'  (12sq) 
x2 L' M' U' M' U M U' M U L M' M'  (12sq) 
x2 M F M' U' F' M' F U M F' M' M'  (12sq) 
x2 U' M' U F M' U' M U M F' M' M'  (12sq) 
x2 M F' M' U' F M' F' U M F M' M'  (12sq) 
x2 U' M' U F' M' U' M U M F M' M'  (12sq) 
x2 M' B R D' B' M' M' B D R' B' M  (12sq) 
x2 M' B' R D' B' M' M' B D R' B M  (12sq) 
D' M' D M' D' M D L' L' R' R' M  (12sq) 
L' D' M' D M' D' M D L' R' R' M  (12sq) 
L' L' D' M' D M' D' M D R' R' M  (12sq) 
