x F R' D F' M F D' R F'  (9sq*) 
x U' M' U' F' F' M' F' F' U M U M' M'  (13sq) 
x U M U F' F' M F' F' U M U M' M'  (13sq) 
x L B R D' B M' B' D R' B' L' M' M'  (13sq) 
x L F R' D F' M' F D' R F' L' M' M'  (13sq) 
x L F' R' D F' M' F D' R F L' M' M'  (13sq) 
x L' B R D' B M' B' D R' B' L M' M'  (13sq) 
x L' F R' D F' M' F D' R F' L M' M'  (13sq) 
x L' F' R' D F' M' F D' R F L M' M'  (13sq) 
x F D R' D F' M' F D' R D' F' M' M'  (13sq) 
x F D R' F' D M' D' F R D' F' M' M'  (13sq) 
x F D' R' D F' M' F D' R D F' M' M'  (13sq) 
x F L' M' F U' M' U F' L M F' M' M'  (13sq) 
x F' D R' D F' M' F D' R D' F M' M'  (13sq) 
x F' D R' F' D M' D' F R D' F M' M'  (13sq) 
x F' D' R' D F' M' F D' R D F M' M'  (13sq) 
x F' L' M' F U' M' U F' L M F M' M'  (13sq) 
x B' R D' B M' B' D R' B' M B' B' M  (13sq) 
x B L B' M' U' M' U M' M' B L' B' M  (13sq) 
x M U' M U M B L' B' M B L B' M  (13sq) 
x B' L B' M' U' M' U M' M' B L' B M  (13sq) 
x M' U M' U' M B' L' B' M B L B M  (13sq) 
x R M' U R' F U' M U F' R U' R' M  (13sq) 
x L F L' M' F U' M U F' R U' R' M  (13sq) 
x R U L' U' B' M B M' U L U' R' M  (13sq) 
x' L B R' U B' M B U' L M U' R' M  (13sq) 
x' U' M' U L' U' L' D' M' D R B R M  (13sq) 
x R' M U R B' U M' U' B R' U' R M  (13sq) 
x L' B L M B' U M' U' B R' U' R M  (13sq) 
x R' U L U F M' F' M U' L' U' R M  (13sq) 
x' L' F R U' F M' F' U L' M' U' R M  (13sq) 
x R' M D R' B D' M' D B' R D' R M  (13sq) 
x' L' B L' M' B D' M' D B' R D' R M  (13sq) 
x L' F R' D F' M' F D' L M D' R M  (13sq) 
x R' M D' R' B D' M' D B' R D R M  (13sq) 
x' L' B' L' M' B D' M' D B' R D R M  (13sq) 
x L' F' R' D F' M' F D' L M D R M  (13sq) 
x U' M' M' U M' U F' F' M' F' F' U' M  (13sq) 
x U M' M' U M U' F' F' M F' F' U' M  (13sq) 
x M U F' R F' U' M' U F R' F U' M  (13sq) 
x M' U L F' M F' M F M' F L' U' M  (13sq) 
x U L' U' R B' M B R' M' U L U' M  (13sq) 
x M' U M' U' M U' M U M' U M U' M  (13sq) 
x U' M' M' U M' U' B' B' M' B' B' U M  (13sq) 
x U M' M' U M U B' B' M B' B' U M  (13sq) 
x M' U' B' L B' U' M U B L' B U M  (13sq) 
x M U' R B' M' B' M' B M B R' U M  (13sq) 
x U' R' U' L F' M' F L' M U R U M  (13sq) 
x M U' M U' M' U' M' U M U M' U M  (13sq) 
x M' F R' D L' F M F' L D' R F' M  (13sq) 
x F R' F M F' R U' F M' F' U F' M  (13sq) 
x F R' F M' F' R U' F M F' U F' M  (13sq) 
x F' F' M' F' U' L F' M F L' U F' M  (13sq) 
x M' F U' R M' U' M U R' M U F' M  (13sq) 
x M' F L U' L F' M F L' U L' F' M  (13sq) 
x M' F L' U' L F' M F L' U L F' M  (13sq) 
x M' F M' F L' U M U' L F' M F' M  (13sq) 
x L M' F U' L F' M F L' U F' L' M  (13sq) 
x L' M' F U' L F' M F L' U F' L M  (13sq) 
x R' D F' R M' F' M F L' U F' L M  (13sq) 
x' R' U B' L U' M U R' M U F' L M  (13sq) 
x M D R' B R' D' M' D R B' R D' M  (13sq) 
x M D' R' B R' D' M' D R B' R D M  (13sq) 
F' F' D' R M' D' F M F' D L' F U' U'  (14sq) 
x2 B' B' U' L F' U M U' F R' M F U' U'  (14sq) 
M' F' D L' M' F M' F' R F' U' M' U' U'  (14sq) 
x2 M' B' U R' U M' U' L M F' U' M' U' U'  (14sq) 
M' F' D' R M' F' M' F L' F U' M' U' U'  (14sq) 
x2 M' B' U' L U' M' U R' M F U' M' U' U'  (14sq) 
x2 M' B D R' M B M' B' L B' U M' U' U'  (14sq) 
M' F U L' U M' U' R M' B' U M' U' U'  (14sq) 
x2 M' B D' L M B' M' B R' B U M' U' U'  (14sq) 
M' F U' R U' M' U L' M' B U M' U' U'  (14sq) 
x2 M B R B R' M' M' B M' B' L U' R' U'  (14sq) 
x2 M B L M U L' M B M' B' L U' R' U'  (14sq) 
M F R F L' M U M' U' R M' U' R' U'  (14sq) 
x2 M B R' B L M' U M' U' R' M' U' R U'  (14sq) 
x2 R' M' U' M' U L U R' M' F M F' R U'  (14sq) 
x2 B U L M F' B' U M U' B F R' F' U'  (14sq) 
F D R M' D' U' F M F' D U L' F' U'  (14sq) 
F D R D' U' F M F' U D L' M' F' U'  (14sq) 
x2 B U L F' B' U M U' F B R' M F' U'  (14sq) 
F D' L' M' D U F' M F D' U' R F U'  (14sq) 
x2 B U' R' M F B U' M U B' F' L F U'  (14sq) 
F D' L' D U F' M F U' D' R M' F U'  (14sq) 
x2 B U' R' F B U' M U F' B' L M F U'  (14sq) 
x2 M B L B' R' M' U' M' U L M' U L' U'  (14sq) 
x2 L M B' M B R' M' U L U' M U L' U'  (14sq) 
R U' M U L' M' M' U L U' M U L' U'  (14sq) 
R U' M U R' M' F R M' U' M U L' U'  (14sq) 
M F L' F' L' R' R' B' M' B R' U L U'  (14sq) 
x2 M B L' B' L M' M' B' M' B R' U L U'  (14sq) 
x2 M B R' M U' R M B' M' B R' U L U'  (14sq) 
M F L' F' R M U' M' U L' M' U L U'  (14sq) 
L' M F' M F R M U L' U' M U L U'  (14sq) 
M F L' F' R M U' M' U R' F R M' U'  (14sq) 
M F R F L' M U M' U' L F' L' M' U'  (14sq) 
x2 U R' U' M' U L U' M' U M F' U M' U'  (14sq) 
x2 R' M' U' R B' M B R' M' U L U M' U'  (14sq) 
x2 R' M B L U' M' U L' B' L U M' M' U'  (14sq) 
L' U R M' U' M' U L' B' L U M' M' U'  (14sq) 
x2 L' D L B' M' B R' M B' L U M' M' U'  (14sq) 
L' U L F' M' F L' U' R M' U M' M' U'  (14sq) 
R U' R' F M F' R U L' M U M' M' U'  (14sq) 
x2 R D' M D R' M' B L B' M B R' M U'  (14sq) 
x2 B' L' M' B R D' M' D R' B' L' L' R' U  (14sq) 
F' R' D L M D' M' D R' B' L' L' R' U  (14sq) 
x2 B' R' U R B' M' B L' M' B' L' L' R' U  (14sq) 
x2 B' L M' B L' M B' M' B L M' B' R' U  (14sq) 
F' L' R' R' M' B' R' U M U' R B R' U  (14sq) 
x2 B' L M' B' L' D B' M' B D' L B R' U  (14sq) 
F' R U' R' F M F' L' R' R' M' B R' U  (14sq) 
x2 B' L M B' L' M' B M B' L M B R' U  (14sq) 
M' M' F' L' M F R U' M U R' F' R U  (14sq) 
F' L' M B' L' D B' M' B D' L B R U  (14sq) 
x2 M B' U B L' B' M B L' L' R' U' F' U  (14sq) 
x2 M B' U B R' M U' M U L M' U' F' U  (14sq) 
M F' D F L' F' M F R M' M' U' F' U  (14sq) 
M' F' D M' F' M F L' F' M F R F' U  (14sq) 
x2 U' M' U M B' U R' U' M' M' U L F' U  (14sq) 
D L' D F' M F D' R F' U' F M' F' U  (14sq) 
D L' M' M' F' M F R F' U' F M F' U  (14sq) 
x2 U R' M' U' M U L M F' U' F M F' U  (14sq) 
x2 M B' U' B' L M U M U' R' M' U F U  (14sq) 
M F' D' F' R F M F' L' M' M' U F U  (14sq) 
M' F' D' M' F M F' R F M F' L' F U  (14sq) 
L' F' M F R F' M F M' U' F' M' F U  (14sq) 
x2 L M' B M' B' R' M' U' L U' M U L' U  (14sq) 
M' M' F' R M F' L' U M U' L F L' U  (14sq) 
F' R M B R D' B M' B' D R' B' L' U  (14sq) 
R' D M' D' L' R' R' U' L' U' M U L U  (14sq) 
x2 R' U M' U' L M' M' U' L' U' M U L U  (14sq) 
L' M' F M' F' R M U' L' U' M U L U  (14sq) 
x2 R' U M' U' R M B' R' M U' M U L U  (14sq) 
x2 B' R' M' B R D' B M' B' D R' B' L U  (14sq) 
x2 B' L' D L' L' R' M U' M U L' B' L U  (14sq) 
x2 B' R' M B R M' B' M B R' M B' L U  (14sq) 
x2 B' R' M' B' R M B M' B' R' M' B L U  (14sq) 
x2 B' M' M' D L M D' B M' B' D R' B' U  (14sq) 
x2 L M' U' L B' U' M' B U R' B L' B' U  (14sq) 
F' M' M' U R B' U M' U' B L' M' B' U  (14sq) 
M U M' U' F' L' U M' U' R B M B' U  (14sq) 
M F' L' U M' U' R B U M' U' M B' U  (14sq) 
x2 B' M' M' D' R' M D B' M' B D' L B U  (14sq) 
F' M' M' U' L' B U' M' U B' R M' B U  (14sq) 
M F' R U' M' U L' B' U' M' U M B U  (14sq) 
x2 B' R M' B' R' M B M' B' L U R' M' U  (14sq) 
F' R M' F' L' U M' U' R M' U R' M' U  (14sq) 
x2 B' L U' R' M U M' U' R M' U R' M' U  (14sq) 
R' D M' D' R M F' L' F' M F R M' U  (14sq) 
F' R' M F R M' F' M F L' U' R M' U  (14sq) 
x2 B' R' M B L U' M U R' M U' R M' U  (14sq) 
F' L' U R M' U' M U R' M U' R M' U  (14sq) 
F' L M F' L' M' F M F' R U L' M' U  (14sq) 
x2 B' L M B' R' U M U' L M U L' M' U  (14sq) 
F' R U' L' M' U M U' L M U L' M' U  (14sq) 
x2 L' D M D' L M' B' R' B' M' B L M' U  (14sq) 
x2 B' L' M' B L M B' M' B R' U' L M' U  (14sq) 
F' L' M' F R U' M' U L' M' U' L M' U  (14sq) 
x2 B' R' U L M U' M' U L' M' U' L M' U  (14sq) 
F' L' M' F R U' M' U R' F' R M' M' U  (14sq) 
x2 B' R' U L M U' M' U R' F' R M' M' U  (14sq) 
F' R' D R F' M' F L' M' F' R M' M' U  (14sq) 
x2 D R' M D B' M' B D' L B' U' M' M' U  (14sq) 
U L' B U' M' U B' R M' B' U' M' M' U  (14sq) 
F' R M' F' L' U M' U' L F L' M' M' U  (14sq) 
x2 B' L U' R' M U M' U' L F L' M' M' U  (14sq) 
F' L D' L' F M' F' R M' F L' M' M' U  (14sq) 
F' R' D R F' M' F R' D' L' R' R' M U  (14sq) 
x2 B' L' D L B' M B L' D' L' L' R' M U  (14sq) 
x2 M U B M B' U' L U M' U' R' U' M U  (14sq) 
M' U' F' M' F U L' U' M U R U' M U  (14sq) 
M' U F M' F' U' R U M U' L' U' M U  (14sq) 
x2 M U' B' M B U R' U' M' U L U' M U  (14sq) 
R F M F' L' F U M' U' F' M' U' M U  (14sq) 
L' F' M F R F' U' M' U F M' U' M U  (14sq) 
x2 L B M' B' R' B U M U' B' M U' M U  (14sq) 
x2 R' B' M' B L B' U' M U B M U' M U  (14sq) 
x2 L U' R' F U' M' U F' R U' M' U' U' R'  (14sq) 
x2 L U R' F U' M' U F' R U M' U' U' R'  (14sq) 
x2 L U' R' F U' M U F' R U' M U' U' R'  (14sq) 
x2 L M' U R' F L' U M' U' L F' R U' R'  (14sq) 
x2 L M B' M B M' U L U' M U L' U' R'  (14sq) 
R U' M U M' F R M' U' M U L' U' R'  (14sq) 
x2 L M' U L B' L U' M' U L' B L' U' R'  (14sq) 
L' R' R' U L' U' M B' M' B U L U' R'  (14sq) 
x2 L M' M' U L' U' M B' M' B U L U' R'  (14sq) 
x2 R M B R' M U' M B' M' B U L U' R'  (14sq) 
x2 L M' U L' B' L U' M' U L' B L U' R'  (14sq) 
x2 L U R' U' M U R B' U' M U B U' R'  (14sq) 
x2 L U' U' M' U' B' L U' M' U L' B U' R'  (14sq) 
L' R' R' M U B' L U' M' U L' B U' R'  (14sq) 
x2 L' L' R' F U' R M' U' M' U L' B U' R'  (14sq) 
R M' M' F U' R M' U' M' U L' B U' R'  (14sq) 
L' L' R' B D' L B' M' B R' M B U' R'  (14sq) 
x2 R M' M' B D' L B' M' B R' M B U' R'  (14sq) 
x2 L M' U B' R M' B' M' B R' M B U' R'  (14sq) 
R M F L' F' M U' M' U F R M' U' R'  (14sq) 
x2 R D' M D M' B L B' M B R' M U' R'  (14sq) 
x2 L M' U M' U L' B M' B' L U' M U' R'  (14sq) 
x2 L M' U' R' F L' U M' U' L F' R U R'  (14sq) 
x2 L M' B M' B' M' U' L U' M U L' U R'  (14sq) 
F' U R M' B' R U' B' M U B L' U R'  (14sq) 
x2 B' D L D' L M U' B' M U B L' U R'  (14sq) 
x2 L M' U' L B' L U' M' U L' B L' U R'  (14sq) 
x2 R' F' M' F L' L' F' R B' M' B L' U R'  (14sq) 
L' R' R' U' L' U' M B' M' B U L U R'  (14sq) 
x2 L M' M' U' L' U' M B' M' B U L U R'  (14sq) 
x2 R M B' R' M U' M B' M' B U L U R'  (14sq) 
R' D M' D' L' R' U' L' U' M U L U R'  (14sq) 
x2 L M' U' L' B' L U' M' U L' B L U R'  (14sq) 
x2 M' B M B' L B' M' B U' B M' B' U R'  (14sq) 
x2 M B' M B L B M' B' U' B M B' U R'  (14sq) 
x2 L U' R' U' M U R B' U' M U B U R'  (14sq) 
L' R' R' M U' B' L U' M' U L' B U R'  (14sq) 
x2 L U' U' M' U B' L U' M' U L' B U R'  (14sq) 
x2 L' L' R' F' U' R M' U' M' U L' B U R'  (14sq) 
R M' M' F' U' R M' U' M' U L' B U R'  (14sq) 
x2 L' L' M' U' M' U L' U' M B' M' B U R'  (14sq) 
R' R' M U' M' U L' U' M B' M' B U R'  (14sq) 
L' R' B' M' B R' M U' M B' M' B U R'  (14sq) 
x2 M B M' B' L B M B' U' B' M B U R'  (14sq) 
x2 M B' M B L B' M' B U' B' M B U R'  (14sq) 
x2 B M' B' L B M B' M U' B' M B U R'  (14sq) 
x2 B' M B L B' M' B M U' B' M B U R'  (14sq) 
L' L' R' B' D' L B' M' B R' M B U R'  (14sq) 
x2 R M' M' B' D' L B' M' B R' M B U R'  (14sq) 
x2 L M' U' B' R M' B' M' B R' M B U R'  (14sq) 
R M F' L' F' M U' M' U F R M' U R'  (14sq) 
x2 B' M B L B' U' M U B M U' M' U R'  (14sq) 
x2 B' D L D' R B' D' M B D R' M U R'  (14sq) 
x2 L M' U' M' U L' B M' B' L U' M U R'  (14sq) 
x2 U' U' M U B' M B M' U L U' M U R'  (14sq) 
x2 R D' M D L U L U' M U L' U' R' R'  (14sq) 
x2 L' F' M' F L' F' L' B' M' B R U R' R'  (14sq) 
R' D M' D' L' U' L' U' M U L U R' R'  (14sq) 
x2 F' M' F L R M' D' U' M' D M U R' R'  (14sq) 
B' M' B L' R' M D' U' M' D M U R' R'  (14sq) 
x2 L R M' F R U' F M' F' U R' F' R' R'  (14sq) 
L' R' M F R U' F M' F' U R' F' R' R'  (14sq) 
L' L' U L M U' F M' F' U R' F' R' R'  (14sq) 
L' R' F L F D M' D' M F' L' F' R' R'  (14sq) 
x2 L' L' D R F' D M' D' F L' M' F' R' R'  (14sq) 
R' D M' D' L' F' M F M' F M F' R' R'  (14sq) 
x2 F' M' F L' F' L' B' M' B R U L' R' R'  (14sq) 
R' M F R U' F M' F' U R' F' L' R' R'  (14sq) 
L' U L M U' F M' F' U R' F' L' R' R'  (14sq) 
R' F L F D M' D' M F' L' F' L' R' R'  (14sq) 
x2 L' D R F' D M' D' F L' M' F' L' R' R'  (14sq) 
U L M U' F M' F' U R' F' L' L' R' R'  (14sq) 
x2 D R F' D M' D' F L' M' F' L' L' R' R'  (14sq) 
x2 U L' M' U B' M' B U' R B' L' L' R' R'  (14sq) 
D R' B D' M' D B' L M B' L' L' R' R'  (14sq) 
x2 U' L' M' U B' M' B U' R B L' L' R' R'  (14sq) 
D' R' B D' M' D B' L M B L' L' R' R'  (14sq) 
R' M B R' U B' M' B U' R B' L' R' R'  (14sq) 
x2 L' U L' M' U B' M' B U' R B' L' R' R'  (14sq) 
L' D R' B D' M' D B' L M B' L' R' R'  (14sq) 
R' M B' R' U B' M' B U' R B L' R' R'  (14sq) 
x2 L' U' L' M' U B' M' B U' R B L' R' R'  (14sq) 
L' D' R' B D' M' D B' L M B L' R' R'  (14sq) 
x2 L R M' B R' U B' M' B U' R B' R' R'  (14sq) 
L' R' M B R' U B' M' B U' R B' R' R'  (14sq) 
x2 L' L' U L' M' U B' M' B U' R B' R' R'  (14sq) 
L' L' D R' B D' M' D B' L M B' R' R'  (14sq) 
x2 L R M' B' R' U B' M' B U' R B R' R'  (14sq) 
L' R' M B' R' U B' M' B U' R B R' R'  (14sq) 
x2 L' L' U' L' M' U B' M' B U' R B R' R'  (14sq) 
L' L' D' R' B D' M' D B' L M B R' R'  (14sq) 
x2 L M' F R U' R F M' F' R' U R' F' R'  (14sq) 
x2 L M F R' D R' F' M F R D' R F' R'  (14sq) 
R D L' M' D R' F' M F R D' R F' R'  (14sq) 
R D R' B L' M' F' M F R D' R F' R'  (14sq) 
x2 R U R' F R' U' M U L M D' R F' R'  (14sq) 
R M D L D R B M' B' L' F' L' F' R'  (14sq) 
x2 R M U L' U' R' B' M B L F L F' R'  (14sq) 
R' D M' D' L' R' F' M F M' F M F' R'  (14sq) 
x2 R U R' F R' U' M U R F' L M F' R'  (14sq) 
x2 L M' D R F' L D' M' D L' F R' D' R'  (14sq) 
x2 L M' D L B L' D M' D' L B' L' D' R'  (14sq) 
x2 L M' D L' B L' D M' D' L B' L D' R'  (14sq) 
x2 L D R D M' D' R' B D' M' D B' D' R'  (14sq) 
x2 L D' D' M' D' B L' D M' D' L B' D' R'  (14sq) 
L' R' R' M D B L' D M' D' L B' D' R'  (14sq) 
L' L' R' F D R' M D M' D' L B' D' R'  (14sq) 
x2 R M' M' F D R' M D M' D' L B' D' R'  (14sq) 
x2 L' L' R' B U L' B M' B' R M' B' D' R'  (14sq) 
R M' M' B U L' B M' B' R M' B' D' R'  (14sq) 
x2 L M' D B R' M B M' B' R M' B' D' R'  (14sq) 
x2 L M' D M D' L B' M' B L' D M' D' R'  (14sq) 
R' R' U L' U' M B' M' B U L U' L' R'  (14sq) 
x2 L' L' M' U B' L U' M' U L' B U' L' R'  (14sq) 
R' R' M U B' L U' M' U L' B U' L' R'  (14sq) 
x2 L' R' F U' R M' U' M' U L' B U' L' R'  (14sq) 
L' R' B D' L B' M' B R' M B U' L' R'  (14sq) 
R' R' U' L' U' M B' M' B U L U L' R'  (14sq) 
x2 L' L' M' U' B' L U' M' U L' B U L' R'  (14sq) 
R' R' M U' B' L U' M' U L' B U L' R'  (14sq) 
x2 L' R' F' U' R M' U' M' U L' B U L' R'  (14sq) 
x2 L' M' U' M' U L' U' M B' M' B U L' R'  (14sq) 
R' B' M' B R' M U' M B' M' B U L' R'  (14sq) 
L' R' B' D' L B' M' B R' M B U L' R'  (14sq) 
x2 L M U' B' M B M' U L U' M U L' R'  (14sq) 
R F' U' M U M' F R M' U' M U L' R'  (14sq) 
x2 L' L' M' D B L' D M' D' L B' D' L' R'  (14sq) 
R' R' M D B L' D M' D' L B' D' L' R'  (14sq) 
L' R' F D R' M D M' D' L B' D' L' R'  (14sq) 
x2 L' R' B U L' B M' B' R M' B' D' L' R'  (14sq) 
x2 L' M' U B' L U' M' U L' B U' L' L' R'  (14sq) 
x2 R' F U' R M' U' M' U L' B U' L' L' R'  (14sq) 
R' B D' L B' M' B R' M B U' L' L' R'  (14sq) 
x2 L' M' U' B' L U' M' U L' B U L' L' R'  (14sq) 
x2 R' F' U' R M' U' M' U L' B U L' L' R'  (14sq) 
x2 M' U' M' U L' U' M B' M' B U L' L' R'  (14sq) 
R' B' D' L B' M' B R' M B U L' L' R'  (14sq) 
x2 L' M' D B L' D M' D' L B' D' L' L' R'  (14sq) 
R' F D R' M D M' D' L B' D' L' L' R'  (14sq) 
x2 R' B U L' B M' B' R M' B' D' L' L' R'  (14sq) 
x2 L' M' B D L' D M' D' L D' B' L' L' R'  (14sq) 
R' D F R' M D M' D' L D' B' L' L' R'  (14sq) 
x2 R' U B L' B M' B' R M' D' B' L' L' R'  (14sq) 
x2 L' M' B D' R D' M' D R' D B' L' L' R'  (14sq) 
R' D F' L M D' M' D R' D B' L' L' R'  (14sq) 
x2 R' U B' R B' M' B L' M' D B' L' L' R'  (14sq) 
x2 L' M' B' U R' U M' U' R U' B L' L' R'  (14sq) 
x2 R' U' F L' M' U M' U' R U' B L' L' R'  (14sq) 
R' D' B R' B M' B' L M U' B L' L' R'  (14sq) 
x2 L' M' B' U' L U' M' U L' U B L' L' R'  (14sq) 
x2 R' U' F' R M' U' M' U L' U B L' L' R'  (14sq) 
R' D' B' L B' M' B R' M U B L' L' R'  (14sq) 
x2 F L F' M' F L' F' L' B' M' B L' L' R'  (14sq) 
x2 L' L' M' B D L' D M' D' L D' B' L' R'  (14sq) 
R' R' M B D L' D M' D' L D' B' L' R'  (14sq) 
L' R' D F R' M D M' D' L D' B' L' R'  (14sq) 
x2 L' R' U B L' B M' B' R M' D' B' L' R'  (14sq) 
x2 L' L' M' B D' R D' M' D R' D B' L' R'  (14sq) 
R' R' M B D' R D' M' D R' D B' L' R'  (14sq) 
L' R' D F' L M D' M' D R' D B' L' R'  (14sq) 
x2 L' R' U B' R B' M' B L' M' D B' L' R'  (14sq) 
x2 L' L' M' B' U R' U M' U' R U' B L' R'  (14sq) 
R' R' M B' U R' U M' U' R U' B L' R'  (14sq) 
x2 L' R' U' F L' M' U M' U' R U' B L' R'  (14sq) 
L' R' D' B R' B M' B' L M U' B L' R'  (14sq) 
x2 L' L' M' B' U' L U' M' U L' U B L' R'  (14sq) 
R' R' M B' U' L U' M' U L' U B L' R'  (14sq) 
x2 L' R' U' F' R M' U' M' U L' U B L' R'  (14sq) 
L' R' D' B' L B' M' B R' M U B L' R'  (14sq) 
x2 L' F L F' M' F L' F' L' B' M' B L' R'  (14sq) 
x2 U F' U' M' U F U' L' L' B' M' B L' R'  (14sq) 
x2 U' F' U M' U' F U L' L' B' M' B L' R'  (14sq) 
x2 L F L' F' M' F L F' L B' M' B L' R'  (14sq) 
x2 L M B U L' U B M B' U' L U' B' R'  (14sq) 
x2 R D B R' M U B M B' U' L U' B' R'  (14sq) 
R U F L' F U M U' F' R M' U' B' R'  (14sq) 
x2 L M B U' R U' B' M B U R' U B' R'  (14sq) 
x2 R D B' L M U' B' M B U R' U B' R'  (14sq) 
x2 M B' M B L M' B U' B' M B U B' R'  (14sq) 
R U F' R F' U' M U F L' M' U B' R'  (14sq) 
x2 L M' B R D L' D M' D' L D' R' B' R'  (14sq) 
x2 L M' B R' D L' D M' D' L D' R B' R'  (14sq) 
x2 L B' B' M' B' D L' D M' D' L D' B' R'  (14sq) 
L' R' R' M B D L' D M' D' L D' B' R'  (14sq) 
L' L' R' D F R' M D M' D' L D' B' R'  (14sq) 
x2 R M' M' D F R' M D M' D' L D' B' R'  (14sq) 
x2 L' L' R' U B L' B M' B' R M' D' B' R'  (14sq) 
R M' M' U B L' B M' B' R M' D' B' R'  (14sq) 
x2 L M' B D R' M B M' B' R M' D' B' R'  (14sq) 
x2 L B' B' M' B' D' R D' M' D R' D B' R'  (14sq) 
L' R' R' M B D' R D' M' D R' D B' R'  (14sq) 
L' L' R' D F' L M D' M' D R' D B' R'  (14sq) 
x2 R M' M' D F' L M D' M' D R' D B' R'  (14sq) 
x2 L' L' R' U B' R B' M' B L' M' D B' R'  (14sq) 
R M' M' U B' R B' M' B L' M' D B' R'  (14sq) 
x2 L M' B D' L M B' M' B L' M' D B' R'  (14sq) 
x2 L M' B L D' R D' M' D R' D L' B' R'  (14sq) 
x2 M' B D L' D M' F' D' F L D' L B' R'  (14sq) 
x2 L M' B L' D' R D' M' D R' D L B' R'  (14sq) 
x2 D B' M' B D' B M' B' L M B M' B' R'  (14sq) 
L' R' R' M B' U R' U M' U' R U' B R'  (14sq) 
x2 L B' B' M' B U R' U M' U' R U' B R'  (14sq) 
x2 L' L' R' U' F L' M' U M' U' R U' B R'  (14sq) 
R M' M' U' F L' M' U M' U' R U' B R'  (14sq) 
L' L' R' D' B R' B M' B' L M U' B R'  (14sq) 
x2 R M' M' D' B R' B M' B' L M U' B R'  (14sq) 
x2 L M' B' U L' M' B M' B' L M U' B R'  (14sq) 
x2 M' B' L U' L F U' F' M' U L' U B R'  (14sq) 
L' R' R' M B' U' L U' M' U L' U B R'  (14sq) 
x2 L B' B' M' B U' L U' M' U L' U B R'  (14sq) 
x2 L' L' R' U' F' R M' U' M' U L' U B R'  (14sq) 
R M' M' U' F' R M' U' M' U L' U B R'  (14sq) 
x2 M B' M B L M' B' U' B M B' U B R'  (14sq) 
x2 M U R' U' B L B' R U' B' M U B R'  (14sq) 
L' L' R' D' B' L B' M' B R' M U B R'  (14sq) 
x2 R M' M' D' B' L B' M' B R' M U B R'  (14sq) 
x2 L M' B' U' R M' B' M' B R' M U B R'  (14sq) 
x2 L M' B' R U' L U' M' U L' U R' B R'  (14sq) 
x2 L M B' R D' M' D' M D M D R' B R'  (14sq) 
x2 R D' L M D' M' D' M D M D R' B R'  (14sq) 
x2 L M' B' R' U' L U' M' U L' U R B R'  (14sq) 
x2 L M' B' L U R' U M' U' R U' L' B R'  (14sq) 
x2 L M' B' L' U R' U M' U' R U' L B R'  (14sq) 
x2 L M B' L' D M' D M D' M D' L B R'  (14sq) 
x2 R D' R' M D M' D M D' M D' L B R'  (14sq) 
x2 L F L' L' F' M' F L' L' B' F' M' B R'  (14sq) 
R U' L' B M' B M B' M B' R M' B R'  (14sq) 
F L F M F' L' F' L' R' R' B' M' B R'  (14sq) 
U' M U M' U M U' L' R' R' B' M' B R'  (14sq) 
R' F L F M F' L' F' L' R' B' M' B R'  (14sq) 
R' U' M U M' U M U' L' R' B' M' B R'  (14sq) 
x2 R' F L' F' M' F L F' L R B' M' B R'  (14sq) 
x2 L B D' D' B M' B' D' D' B' B' M' B R'  (14sq) 
x2 L B D' D' B' M' B D' D' B' B' M' B R'  (14sq) 
R' R' F L F M F' L' F' L' B' M' B R'  (14sq) 
x2 L' L' F L F' M' F L' F' L' B' M' B R'  (14sq) 
x2 L' U F' U' M' U F U' L' L' B' M' B R'  (14sq) 
x2 L' U' F' U M' U' F U L' L' B' M' B R'  (14sq) 
R' R' U' M U M' U M U' L' B' M' B R'  (14sq) 
x2 M' M' F L' F M F' L F' L B' M' B R'  (14sq) 
x2 F R' M D' M' D R M' F' L B' M' B R'  (14sq) 
x2 L M' D L' D M D' L D' M' B' M' B R'  (14sq) 
x2 L M D L' D' M' D L D' M' B' M' B R'  (14sq) 
x2 R F R' M D' M' D L D' M' B' M' B R'  (14sq) 
R B L' B' M' B R M' D' M' B' M' B R'  (14sq) 
x2 F R' M D' M' D L D' R M' B' M' B R'  (14sq) 
B L' B' M' B R M' D' R M' B' M' B R'  (14sq) 
x2 M F D' F' M' F D F' L M' B' M' B R'  (14sq) 
x2 M F' D' F M' F' D F L M' B' M' B R'  (14sq) 
x2 B L B M B' L' B' L M' M' B' M' B R'  (14sq) 
x2 D' M D M' D M D' L M' M' B' M' B R'  (14sq) 
x2 L M U L U M U' L' U' M B' M' B R'  (14sq) 
R F R M' U M U' L' U' M B' M' B R'  (14sq) 
x2 L M' U L U' M' U L' U' M B' M' B R'  (14sq) 
x2 R B L B M B' R' M U' M B' M' B R'  (14sq) 
F R M' U M U' L' U' R M B' M' B R'  (14sq) 
x2 B L B M B' R' M U' R M B' M' B R'  (14sq) 
x2 L M B' M B M' B M B' M B' M' B R'  (14sq) 
x2 L M B' M B' M' B' M B M B M' B R'  (14sq) 
R U' R B' M' B' M B M B L' M' B R'  (14sq) 
R' D' M' U' M D M' U L' R' B' M B R'  (14sq) 
x2 M' B D M' D' D' M' D B' L B' M B R'  (14sq) 
x2 M' D B' M' B' B' M' B' D' L B' M B R'  (14sq) 
x2 B' M' B L B' M' U' B M' B' U M B R'  (14sq) 
x2 B' M' B L B' M' U' B' M' B U M B R'  (14sq) 
