x2 U' M' U R U' M' U L' B' M B M'  (12sq) 
x2 R F' L' F U' M' U F' L F L' M'  (12sq) 
x2 R F' U' L F M' F' L' U F L' M'  (12sq) 
x2 R B L B' U' M' U B L' B' L' M'  (12sq) 
x2 R U' F R' F' M' F R F' U L' M'  (12sq) 
x2 R U' F' L F M' F' L' F U L' M'  (12sq) 
x2 M F' D L' M' F' M' F R F' U M'  (12sq) 
M B' U R' U' M' U L M F' U M'  (12sq) 
x2 M F' D' R M' F M' F' L' F U M'  (12sq) 
M B' U' L U M' U' R' M F U M'  (12sq) 
R' B' M B' B' M B' L U' M' U M'  (12sq) 
x2 U R M' B' U' M U B L' B' M' M'  (12sq) 
D L D' B' M B D R' M B' M' M'  (12sq) 
x2 F' D' R M' F M F' L' F U M' M'  (12sq) 
B' U' L U M U' R' M F U M' M'  (12sq) 
x2 D F' R M' F M F' L' U F' M' M'  (12sq) 
U B' L U M U' R' M U F' M' M'  (12sq) 
x2 D' F' R M' F M F' L' U F M' M'  (12sq) 
U' B' L U M U' R' M U F M' M'  (12sq) 
L U L' U B M' B' U' L U' R' M  (12sq) 
x2 L' U L U' F' M F U L' U' R M  (12sq) 
x2 L' F' D' L D M D' L' D F R M  (12sq) 
x2 L' D F' L D M D' L' F D' R M  (12sq) 
x2 L' D' F' L D M D' L' F D R M  (12sq) 
x' U' U' F' L D' F' M' F D L' F U' U'  (13sq) 
x' U' U' L' B M' B M' B' M B' L U' U'  (13sq) 
x' M U' F M' U M' U' M F' U' M' U' U'  (13sq) 
x' M U' F' M' U M' U' M F U' M' U' U'  (13sq) 
x D' M D M D' L' L' R' R' U' M' U' U'  (13sq) 
x' U' M' U M U' M U M' U' U' M' U' U'  (13sq) 
x' U' B M U M U' M' B' M' U' M' U' U'  (13sq) 
x' U' B' M U M U' M' B M' U' M' U' U'  (13sq) 
x' B M U' M' U M' B' U' M U' M' U' U'  (13sq) 
x' B' M U' M' U M' B U' M U' M' U' U'  (13sq) 
x' U' U' M U M' U M' U' M U' M' U' U'  (13sq) 
x' U B' B' M' U' M U B' B' U M' U' U'  (13sq) 
x' U M' U M' U M U' U' M U M' U' U'  (13sq) 
x' U M U' M' U M' U' M' U' U' M U' U'  (13sq) 
x' U B M U' M' M' U M' B' U M U' U'  (13sq) 
x' U B' M U' M' M' U M' B U M U' U'  (13sq) 
x' M' M' U' M' U' M' M' U' M' U M U' U'  (13sq) 
x D M D' L' L' R' R' U M' U M U' U'  (13sq) 
x' M' M' U M' M' U' M U M U M U' U'  (13sq) 
x' M U R D B D M' M' D' B' D' R' U'  (13sq) 
x' M U R D' B D' M' M' D B' D R' U'  (13sq) 
x' U D R' D L' B M' B' L D' R D' U'  (13sq) 
x' U D M' D M' U M' U' M D' M D' U'  (13sq) 
x' U L D' L B' D M' D' B L' D L' U'  (13sq) 
x' U L' D R' D B M' B' D' R D' L U'  (13sq) 
x' U L' M' B U' M B M' B' U B' L U'  (13sq) 
x' U B' B' U' M U' M' U M' U B' B' U'  (13sq) 
x' R B' U' L U R' M' U L' B' U B U'  (13sq) 
x' U R' U F' M U M' U' F U' R M' U'  (13sq) 
x' U M B R' B U M' U' B' R B' M' U'  (13sq) 
x' U B' B' U' U' M U' M' U' B' B' M' U'  (13sq) 
x' M U M B U B M' M' B' U' B' M' U'  (13sq) 
x' M U M B' U B' M' M' B U' B M' U'  (13sq) 
x' M U' M' B M' B' U' B M B' U' M' U'  (13sq) 
x' B M' B' M U' M' U' B M B' U' M' U'  (13sq) 
x' M U' M' B' M' B U' B' M B U' M' U'  (13sq) 
x' B' M' B M U' M' U' B' M B U' M' U'  (13sq) 
x' F M F M F' M' U' M' U F' U M' U'  (13sq) 
x' F U' M F M F' M' M' U F' U M' U'  (13sq) 
