M B' R B' M' B R' B  (8sq*) 
x R B M B M B' R' B' M' B L U' R'  (13sq) 
x' R F' R B' M' F' M B M' F L' U R'  (13sq) 
x' L' R' M' M' D M D M' D M D R' R'  (13sq) 
x' R' M' M' D M D M' D M D L' R' R'  (13sq) 
x M' U' L' M' B' M' B R B L' L' R' R'  (13sq) 
x' M' D' R' D' M' D L M B L' L' R' R'  (13sq) 
x L' M' U' L' M' B' M' B R B L' R' R'  (13sq) 
x' L' M' D' R' D' M' D L M B L' R' R'  (13sq) 
x' R' B' L' M' D' M' D L M B L' R' R'  (13sq) 
x L R M' M' B' R' B' M' B R B R' R'  (13sq) 
x L' L' M' U' L' M' B' M' B R B R' R'  (13sq) 
x' R' R' M U' L' M' B' M' B R B R' R'  (13sq) 
x' L' L' M' D' R' D' M' D L M B R' R'  (13sq) 
x R' R' M D' R' D' M' D L M B R' R'  (13sq) 
x' L' R' B' L' M' D' M' D L M B R' R'  (13sq) 
x L F' F' D B D M D' B' D' F' F' R'  (13sq) 
x L F' F' D B D' M D B' D' F' F' R'  (13sq) 
x L F' F' D' B D M D' B' D F' F' R'  (13sq) 
x L F' F' D' B D' M D B' D F' F' R'  (13sq) 
x L F D B D' F M F' D B' D' F' R'  (13sq) 
x L F D' B D F M F' D' B' D F' R'  (13sq) 
x L M F M F M' B M F' M' B' F' R'  (13sq) 
x L F' D B D' F' M F D B' D' F R'  (13sq) 
x L F' D' B D F' M F D' B' D F R'  (13sq) 
x' R D' R F' M' B M F M' B' L' F R'  (13sq) 
x L M D R D M' D' R' D M D' D' R'  (13sq) 
x R F L M D M' D' R' D M D' D' R'  (13sq) 
x L M' D R D' M D R' D M D' D' R'  (13sq) 
x' R B R B M' B' L' M' D M D' D' R'  (13sq) 
x R F M D M' D' R' D M D' L D' R'  (13sq) 
x L D B D B' B' M B' B' D' B' D' R'  (13sq) 
x L M' D' D' M' D' B D M' D' B' D' R'  (13sq) 
x L D' D' M' M' D' B D M' D' B' D' R'  (13sq) 
x L M D' D' M D' B D M' D' B' D' R'  (13sq) 
x L D B D' F' F' M F' F' D B' D' R'  (13sq) 
x L D B D M' M' D' D' M' D B' D' R'  (13sq) 
x L D' B D F' F' M F' F' D' B' D R'  (13sq) 
x L D' B D' M' M' D' D' M' D' B' D R'  (13sq) 
x L D' B D' B' B' M B' B' D B' D R'  (13sq) 
x L M' D' D' M' D B D' M' D B' D R'  (13sq) 
x L D' D' M' M' D B D' M' D B' D R'  (13sq) 
x L M D' D' M D B D' M' D B' D R'  (13sq) 
x L' L' M' M' D B D M' D' B' D' L' R'  (13sq) 
x L' L' M' M' D' B D' M' D B' D L' R'  (13sq) 
x L' M' M' D B D M' D' B' D' L' L' R'  (13sq) 
x L' M' M' D' B D' M' D B' D L' L' R'  (13sq) 
x L' B U B' U M U' B U' B' L' L' R'  (13sq) 
x L' B U' B' U' M U B U B' L' L' R'  (13sq) 
x L' B' D B' D M D' B D' B L' L' R'  (13sq) 
x L' B' D' B' D' M D B D B L' L' R'  (13sq) 
x L' L' B U B' U M U' B U' B' L' R'  (13sq) 
x L' L' B U' B' U' M U B U B' L' R'  (13sq) 
x L' L' B' D B' D M D' B D' B L' R'  (13sq) 
x' R' R' B' D B' D' M' D B D' B L' R'  (13sq) 
x' R' R' B' D' B' D M' D' B D B L' R'  (13sq) 
x L' L' B' D' B' D' M D B D B L' R'  (13sq) 
x L U' M U B U' M' U' M U' U' B' R'  (13sq) 
x L U M U' B U M' U M U' U' B' R'  (13sq) 
x' R U L' B M' B M B M' B R B' R'  (13sq) 
x L B L U B' U M U' B U' L' B' R'  (13sq) 
x L B L U' B' U' M U B U L' B' R'  (13sq) 
x L B L' U B' U M U' B U' L B' R'  (13sq) 
x L B L' U' B' U' M U B U L B' R'  (13sq) 
x L M B' B' U M U' B U M' U' B R'  (13sq) 
x L B' B' M U M U' B U M' U' B R'  (13sq) 
x L M B' B' U' M U B U' M' U B R'  (13sq) 
x L B' B' M U' M U B U' M' U B R'  (13sq) 
x L B' R D B' D M D' B D' R' B R'  (13sq) 
x L B' R D' B' D' M D B D R' B R'  (13sq) 
x R D' L B D' B' M B D B' R' B R'  (13sq) 
x R D' L B' D' B M B' D B R' B R'  (13sq) 
x L B' R' D B' D M D' B D' R B R'  (13sq) 
x L B' R' D' B' D' M D B D R B R'  (13sq) 
x L M B' M' D R D' M D R' D' B R'  (13sq) 
x R D' M' F L M D' M D R' D' B R'  (13sq) 
x' L' R' R' B' D B' D' M' D B D' B R'  (13sq) 
x L M' M' B' D B' D' M' D B D' B R'  (13sq) 
x' R U' M' B R B' M B L' M' D' B R'  (13sq) 
x' L' R' R' B' D' B' D M' D' B D B R'  (13sq) 
x L M' M' B' D' B' D M' D' B D B R'  (13sq) 
x R D' R' D R D' M D R' D' L B R'  (13sq) 
x B' D B' L M B L' D' B D' L B R'  (13sq) 
x B' D B' R D R' M D' B D' L B R'  (13sq) 
x' F' U F' R U L' B' U B' R M' B R'  (13sq) 
x M B' L B' M B L' B L B' M' B R'  (13sq) 
x L M U B U M U' B' U' B' M' B R'  (13sq) 
x L M U' B U' M U B' U B' M' B R'  (13sq) 
x L D' L' D' M D L D M B' M' B R'  (13sq) 
x B D B M B' D' B' L M B' M' B R'  (13sq) 
x B' D B' M B D' B L M B' M' B R'  (13sq) 
x L M' B' U B' U M' U' B U' M' B R'  (13sq) 
x L M B' U B' U' M U B U' M' B R'  (13sq) 
x L M B' U' B' U M U' B U M' B R'  (13sq) 
x L M' B' U' B' U' M' U B U M' B R'  (13sq) 
x' L' M' U' R U M' U' R' U' M U' U' R  (13sq) 
x R' B' L M U M' U' R' U' M U' U' R  (13sq) 
x' L' M U' R U' M U R' U' M U' U' R  (13sq) 
x' R' F' R F M' F' L' M' U' M U' U' R  (13sq) 
x' L' M' M' F' U' U' F' M F U' U' F R  (13sq) 
x' L' M' F' M U R U M' U' R' U' F R  (13sq) 
x R' U' M B L M U M' U' R' U' F R  (13sq) 
x' R' D' M F R F M' F' L' M' U' F R  (13sq) 
x' L' M F' R' D' M' D' D' M' D' R F R  (13sq) 
x' R' D' R U R U M' U' R' U' L' F R  (13sq) 
x' L' M D' D' F M F' D' D' F' M F R  (13sq) 
x' L' D' D' M F M F' D' D' F' M F R  (13sq) 
x' L' M F' M' F' M' F' F' M' F' M F R  (13sq) 
x' L' F' M F' M F M F M' F' M F R  (13sq) 
x' L' M F M F M' F' F' M F' M F R  (13sq) 
x' L' M' D R' D M' D' R D M D' D' R  (13sq) 
x' R' B L' M' D M' D' R D M D' D' R  (13sq) 
x' L' M D R' D' M D R D M D' D' R  (13sq) 
x R' F R' F M' F' L M D M D' D' R  (13sq) 
x' R' B M' D M' D' R D M D' L' D' R  (13sq) 
x' L' M' D' L' F M F' F' M' F L D R  (13sq) 
x R' F' R' M F M F' F' M' F L D R  (13sq) 
x' R' B' L' D M D' D' M' D R M' D R  (13sq) 
x R' R' F' U' U' F' M F U' U' F L R  (13sq) 
x' L' L' B' R' R' B' M' B R' R' B L R  (13sq) 
x' R' M U' L' R' M' B' M' B R' R' B R  (13sq) 
x L' F' L' L' M' M' B' M' B R' R' B R  (13sq) 
x R' M D' L R M B' M' B R' R' B R  (13sq) 
x' R' M U' R' R' U' M' U L' R' M' B R  (13sq) 
x L' F' L' R' M' U' M' U L' R' M' B R  (13sq) 
x' L' B' L R M U' M' U L' R' M' B R  (13sq) 
x L' F' R' R' F' M' F L' L' M' M' B R  (13sq) 
x R' M D' R' R' D' M' D L R M B R  (13sq) 
x' L' B' L' R' M' D' M' D L R M B R  (13sq) 
x L' F' L R M D' M' D L R M B R  (13sq) 
x' F M' F' D F L' M' F M F' R U' F'  (13sq) 
x B M' B' U B R' U M U' L M U' F'  (13sq) 
x U R B' U R' B M B' L F' U R' F'  (13sq) 
x' D M' D M' D' R' D' M D L' R' R' F'  (13sq) 
x' D L' R' R' F M' B M F' M' B' R' F'  (13sq) 
x U L M' M' F M' B M F' M' B' R' F'  (13sq) 
x U' U' L D B D M D' B' D' R' F' F'  (13sq) 
x U' U' L D B D' M D B' D' R' F' F'  (13sq) 
x U' U' L D' B D M D' B' D R' F' F'  (13sq) 
x U' U' L D' B D' M D B' D R' F' F'  (13sq) 
x U' L M U' R' F' L' B' U B L F' F'  (13sq) 
x' D' R F' L' M' F' L' B' U B L F' F'  (13sq) 
x U' R B' R' U' R' M B' U B L F' F'  (13sq) 
x U' U' R' B' R B M B' R' B L F' F'  (13sq) 
x' D' R F' R' D' L' U' F U R M' F' F'  (13sq) 
x' M D L' M' F M F' R F M' M' F' F'  (13sq) 
x M U R' U M U' L M F M' M' F' F'  (13sq) 
x' D B L' D M D' M' F M' F' R D' F'  (13sq) 
x U F R' M F U M' U' M F' L D' F'  (13sq) 
x' D B L' D F M' F' M D' R M' D' F'  (13sq) 
x' D L' F' L' R' R' U' M' U R' U L F'  (13sq) 
x U L' B' L M' M' U' M' U R' U L F'  (13sq) 
x U R' M U' R M U' M' U R' U L F'  (13sq) 
x' D L' F' R M F' M' F L' M' U L F'  (13sq) 
x U M U R' F' L' B' U' B L F L F'  (13sq) 
x D M' D B' M' F M D' M U M B' F'  (13sq) 
x' D L' F' R M F' M' F R' F R M' F'  (13sq) 
x' D R M D M' U M D' M' U' L' M' F'  (13sq) 
x U M' U M' U' R' U' M U L M' M' F'  (13sq) 
x U R' M' U L F' M F R' F' R M F'  (13sq) 
x' M' D M D M D' L' F' M F R M F'  (13sq) 
x' D M' D M' D' L' M' F' M F R M F'  (13sq) 
x' M' D L' F M F' R M F M F' M F'  (13sq) 
x' U' D' B' D' L' M' F D B U R U' F  (13sq) 
x D' U' F' U' R' U F D B L M U' F  (13sq) 
x' D' F' R M' F M F' F' M' F L' U F  (13sq) 
x U' B' L U M U' U' M' U R' M U F  (13sq) 
x' D' R F' U F M' F' M U' M' F L' F  (13sq) 
x R' U' M' M' U L F' L' U' M' U L F  (13sq) 
x U' M U' R' F' L' B' U B L F L F  (13sq) 
x' L' F' R F' M' F L' M U L F' M' F  (13sq) 
x' M' D' L' F M F' R M F' M F M F  (13sq) 
x M F L M B R' D M' D' R B' R' D'  (13sq) 
x' M B R U L' M' D M' D' R B' R' D'  (13sq) 
x M F R D R' F M' F' L M B' R' D'  (13sq) 
x' B' B' R B' R B M' B' R' B L' D' D'  (13sq) 
x F' F' R' B' R B' M B R' B L D' D'  (13sq) 
x M F' F' D' L M B M' B' R' B D' D'  (13sq) 
x F' F' M D' L M B M' B' R' B D' D'  (13sq) 
x M' F' F' D' L M B' M B R' B D' D'  (13sq) 
x F' F' M' D' L M B' M B R' B D' D'  (13sq) 
x' M B' B' U' R U M' U' L' M' B D' D'  (13sq) 
x' B' B' M U' R U M' U' L' M' B D' D'  (13sq) 
x' M' B' B' U' R U' M U L' M' B D' D'  (13sq) 
x' B' B' M' U' R U' M U L' M' B D' D'  (13sq) 
x' B L' R' M' D M' D' R' R' D M D' D'  (13sq) 
x F L R M D M' D' R' R' D M D' D'  (13sq) 
x' B R' R' B M' B' L' R' M' D M D' D'  (13sq) 
x F R' R' F M' F' L R M D M D' D'  (13sq) 
x' B R' M' D M' D' R' R' D M D' L' D'  (13sq) 
x F R M D M' D' R' R' D M D' L D'  (13sq) 
x D M D' R' D' F' R D R F L B' D'  (13sq) 
x' M B R U R' B M' B' R U' L' M' D'  (13sq) 
x M F' L M B R' D' M' D R B' R' D  (13sq) 
x' M B' R U L' M' D' M' D R B' R' D  (13sq) 
x F' L M D' M D B D' M' D B' R' D  (13sq) 
x F' M B' L' B' L B L B L B' R' D  (13sq) 
x M F' R D R' F' M' F L M B' R' D  (13sq) 
x' B' L' L' M' F M F' F' M' F L R D  (13sq) 
x F' R' R' M F M F' F' M' F L R D  (13sq) 
x' B' L' R' D M D' D' M' D R' R' M' D  (13sq) 
x' M B' R U R' B' M' B R U' L' M' D  (13sq) 
x' B' R B' M B U B' M' B U' L' M' D  (13sq) 
x F' L' R' U M U' U' M' U L' L' M D  (13sq) 
x' R U' U' F' L F' M' F L' F U' U' L'  (13sq) 
x' R M U R B' M' B' B' M' B' R' U' L'  (13sq) 
x' R M' U M' F R' F M F' R F' U' L'  (13sq) 
x' L F M' D L' M' F M F' R F' U' L'  (13sq) 
x L B M' U R' U M U' L M F' U' L'  (13sq) 
x L B R' F R' F M F' R F' L U' L'  (13sq) 
x' R U B' U' R B' M' B R' U B U' L'  (13sq) 
x' R M U M U' M' U' U' M' U' M' U' L'  (13sq) 
x' R M U' M' U M' U' U' M U' M' U' L'  (13sq) 
x' R U' M U M U' M U' M U' M' U' L'  (13sq) 
x' R U' F' U' L F' M' F L' U F U L'  (13sq) 
x' U L F M' M' F' L' U' R U' M U L'  (13sq) 
x' F R U M' M' U' R' F' R U' M U L'  (13sq) 
x' R F R' F M F' R F M' M' F' F' L'  (13sq) 
x' F' R F' M' F L' M U L F' M' F L'  (13sq) 
x' R D R B R' D M' D' R B' R' D' L'  (13sq) 
x' R D' D' B' R B M' B' R' B D' D' L'  (13sq) 
x' R D M U M' D M' D' M U' M' D' L'  (13sq) 
x' R D' R B R' D' M' D R B' R' D L'  (13sq) 
x' R D' M U M' D' M' D M U' M' D L'  (13sq) 
x L' R' M' M' B' R B' M' B R' B L' L'  (13sq) 
x' R' R' M' D' L M B' M' B R' B L' L'  (13sq) 
x L' L' M D' L M B' M' B R' B L' L'  (13sq) 
x R' R' M' U' R U' M' U L' M' B L' L'  (13sq) 
x' L' L' M U' R U' M' U L' M' B L' L'  (13sq) 
x' L R B' L M U' M' U L' M' B L' L'  (13sq) 
x' R M' B L U M' U' U' M U L' B' L'  (13sq) 
x' L U R M' U M' U' U' M U L' B' L'  (13sq) 
x L D L B M' B' R' B' M B M B' L'  (13sq) 
x L D L B M' B' B' M B R' M B' L'  (13sq) 
x' R B' R B D' D' M' D' D' B' R' B L'  (13sq) 
x' R B' R B' M' M' B' B' M B' R' B L'  (13sq) 
x' R B' R B' U' U' M' U' U' B R' B L'  (13sq) 
x L' L' R' M' M' B' R B' M' B R' B L'  (13sq) 
x' R M B' B' M' B R B' M' B R' B L'  (13sq) 
x' R M' B' B' M B R B' M' B R' B L'  (13sq) 
x' L M U' L' R' R' M' B' M' B R' B L'  (13sq) 
x R F' L' L' R' M' M' B' M' B R' B L'  (13sq) 
x' L' R' R' M' D' L M B' M' B R' B L'  (13sq) 
x L D' D' M D L M B' M' B R' B L'  (13sq) 
x R F' R F' L' L' R' R' M B R' B L'  (13sq) 
x' R B' D' R D B' M' B D' R' D B L'  (13sq) 
x' R B' L B M U' M' U M' B' L' B L'  (13sq) 
x' R B' L B' M U' M' U M' B L' B L'  (13sq) 
x L' R' R' M' U' R U' M' U L' M' B L'  (13sq) 
x' L U' U' M U R U' M' U L' M' B L'  (13sq) 
x R F' L' R' R' M' U' M' U L' M' B L'  (13sq) 
x' L U' L' U' M U R U' M' U M' B L'  (13sq) 
x B U' B' U' M U' R' F' U F U' U' L  (13sq) 
x R' U' U' F' L F M F' L' F U' U' L  (13sq) 
x R' U' M' U' M U' M' U M' M' U' U' L  (13sq) 
x B L F U F' L' B' U M U' R' U' L  (13sq) 
x R' M' U R B' M' B' B' M' B' R' U' L  (13sq) 
x R' U F R F' U M U' F R' F' U' L  (13sq) 
x R' M U M' F R' F M F' R F' U' L  (13sq) 
x' L' F M' D L' M' F M F' R F' U' L  (13sq) 
x L' B M' U R' U M U' L M F' U' L  (13sq) 
x L' B R' F R' F M F' R F' L U' L  (13sq) 
x R' M' U M U' M' U' U' M' U' M' U' L  (13sq) 
x R' M' U' M' U M' U' U' M U' M' U' L  (13sq) 
x R' U' F' U' L F M F' L' U F U L  (13sq) 
x R' U' B L B' U' M U B L' B' U L  (13sq) 
x R' U M U M' U M' U M' U' M' U L  (13sq) 
x R' D' D' B' R B' M B R' B D' D' L  (13sq) 
x R' M B L U M' U' U' M U L' B' L  (13sq) 
x' L' U R M' U M' U' U' M U L' B' L  (13sq) 
x L' D L B M' B' R' B' M B M B' L  (13sq) 
x L' D L B M' B' B' M B R' M B' L  (13sq) 
x R' B' U' B L U' M U L' B' U B L  (13sq) 
x R' B' R B U' U' M U' U' B' R' B L  (13sq) 
x R' B' R B' D' D' M D' D' B R' B L  (13sq) 
x R' M' B' B' M' B R B' M' B R' B L  (13sq) 
x R' B' B' M' M' B R B' M' B R' B L  (13sq) 
x R' M B' B' M B R B' M' B R' B L  (13sq) 
x' L' M U' L' R' R' M' B' M' B R' B L  (13sq) 
x L' D' D' M D L M B' M' B R' B L  (13sq) 
x R' B' R B M' B' B' M' M' B R' B L  (13sq) 
x' L' U' U' M U R U' M' U L' M' B L  (13sq) 
x R' M' M' B' L M U' M' U L' M' B L  (13sq) 
x' L' U' L' U' M U R U' M' U M' B L  (13sq) 
x D L B L U' U' M U' U' R' U' L' B'  (13sq) 
x D L B R' U' U' M U' U' L U' L' B'  (13sq) 
x' U R M' U F' F' M F' F' M' U' L' B'  (13sq) 
x' U L F' L' F' F' M' F' F' R U L' B'  (13sq) 
x' F' F' R' F' R U M' F' F' R U L' B'  (13sq) 
x' U R M' U' M F' F' M' F' F' U L' B'  (13sq) 
x' U L F' R F' F' M' F' F' L' U L' B'  (13sq) 
x D L' L' R' M U M' U' U' M U L' B'  (13sq) 
x' U R M' B U M' U' U' M U B' L' B'  (13sq) 
x' U R M' B' U M' U' U' M U B L' B'  (13sq) 
x' U' U' R B R B' M' B R' B' L' B' B'  (13sq) 
x D M' D L D' B' M' B D R' B' M' B'  (13sq) 
x' U L' B' R' B' R B R B R B' M' B'  (13sq) 
x' U R U' M' U L' U B M B' U' M' B'  (13sq) 
x' U R M' U M' U' L' M' B' M B M B'  (13sq) 
x D L B U' U' M U' U' M' B' R' M B'  (13sq) 
x D L B' M U' U' M' U' U' B R' M B'  (13sq) 
x D L D B M' B' B' M B D' R' M B'  (13sq) 
x D L D' B M' B' B' M B D R' M B'  (13sq) 
x' M' F' L' U L U' F' R U L' B' U B  (13sq) 
x' M' U' F' U R M' U' M U L' B' U B  (13sq) 
x M' D' B' D L B' M B R' M B' U B  (13sq) 
x' U' L' M' U' M' M' U R U' M' M' U B  (13sq) 
x D' R' B' M' M' B L M U' M' M' U B  (13sq) 
x' U' B' L' M' D' R' D R D R D R' B  (13sq) 
x' U' B' R' B' L' M' D R D R D R' B  (13sq) 
x D' F' R' F' R' F L M D R D R' B  (13sq) 
x D' L M B' M' B D' B M B' D R' B  (13sq) 
x D' L M B' M' B D' B' M B D R' B  (13sq) 
x D' F' R' F' R' F R F L M D R' B  (13sq) 
x' U' R M' B' M B R B' M' B L' R' B  (13sq) 
x D' L D' M D L M B' M' B L' R' B  (13sq) 
x M' D' L M B U' U' M U' U' B' R' B  (13sq) 
x M D' L M B D' D' M' D' D' B' R' B  (13sq) 
x M D' L M B' M' M' B' B' M B' R' B  (13sq) 
x M D' L M B' U' U' M' U' U' B R' B  (13sq) 
x M' D' L M B' D' D' M D' D' B R' B  (13sq) 
x' U' U' M U L' R' R' M' B' M' B R' B  (13sq) 
x U' U' M D' U' U' L M B' M' B R' B  (13sq) 
x F' F' M F' F' D' L M B' M' B R' B  (13sq) 
x B' B' M B' B' D' L M B' M' B R' B  (13sq) 
x' L' L' R' R' M' D' L M B' M' B R' B  (13sq) 
x M' M' D' D' M' D L M B' M' B R' B  (13sq) 
x M' D' D' M' M' D L M B' M' B R' B  (13sq) 
x M' D' L M B M' B' B' M' M' B R' B  (13sq) 
x' M U' L M F' L' L' R' R' M B R' B  (13sq) 
x M D' F' L M D B' M' B D' R' D B  (13sq) 
x' M U' B' R B U' M' U B' L' M' D B  (13sq) 
x' U' M' U' M' M' U R U' M' M' U L' B  (13sq) 
x' M' U' R M U' M U M U' M U L' B  (13sq) 
x' M U' R M' B M U' M' U M' B' L' B  (13sq) 
x' M U' R M' B' M U' M' U M' B L' B  (13sq) 
x' U' L' B' R' B' R' B R B R B M' B  (13sq) 
x' U' B' R' B' R' B R B R B L' M' B  (13sq) 
x' U' R U' M' U B' U M U' B L' M' B  (13sq) 
x' U' R U' M' U B' U' M U B L' M' B  (13sq) 
x' U' L U' M U R U' M' U L' L' M' B  (13sq) 
x' M' U' R U F' F' M F' F' U' L' M' B  (13sq) 
x' M U' R U B' B' M' B' B' U' L' M' B  (13sq) 
x' M U' R U' M' M' U' U' M U' L' M' B  (13sq) 
x' M U' R U' F' F' M' F' F' U L' M' B  (13sq) 
x' M' U' R U' B' B' M B' B' U L' M' B  (13sq) 
x' D' D' M U' D' D' R U' M' U L' M' B  (13sq) 
x' B' B' M B' B' U' R U' M' U L' M' B  (13sq) 
x' F' F' M F' F' U' R U' M' U L' M' B  (13sq) 
x L' L' R' R' M' U' R U' M' U L' M' B  (13sq) 
x' M' M' U' U' M' U R U' M' U L' M' B  (13sq) 
x' M' U' U' M' M' U R U' M' U L' M' B  (13sq) 
x M D' L' L' R' M' M' U' M' U L' M' B  (13sq) 
x' M' U' R U M' U' U' M' M' U L' M' B  (13sq) 
x M D' R D' L' L' R' R' M U L' M' B  (13sq) 
x' U' L' L' U' M U R U' M' U L M' B  (13sq) 
x D' R' M B' M B L M U' M' U M' B  (13sq) 
x D' L D' M D R D' M' D R' R' M B  (13sq) 
x M D' L D M B' M' B M' D' R' M B  (13sq) 
x M D' L D' M B' M' B M' D R' M B  (13sq) 
x' M D' L' M' F M' F' R F' M F' F' M'  (13sq) 
x' M' D' L' M' F' M F R F' M F' F' M'  (13sq) 
x M U' R' U M' U' L M F' M F' F' M'  (13sq) 
x M' U' R' U' M U L M F' M F' F' M'  (13sq) 
x M U M U M U' R' U' M' U L F' M'  (13sq) 
x' M D' R U' M' D' M U M' D L' F M'  (13sq) 
x L D' B D M D' B' D' M D' D' R' M'  (13sq) 
x L D' B D' M D B' D' M D' D' R' M'  (13sq) 
x L D B D M D' B' D M D' D' R' M'  (13sq) 
x L D B D' M D B' D M D' D' R' M'  (13sq) 
x L B' B' M B' M B M' B M B R' M'  (13sq) 
x' L' R' R' M' B M B M' B M B R' M'  (13sq) 
x' R' R' M' B M B M' B M B L' R' M'  (13sq) 
x L' L' M B M B M' B M B L' R' M'  (13sq) 
x L' M B M B M' B M B L' L' R' M'  (13sq) 
x L' M' U' R' U' M' U R U L' L' R' M'  (13sq) 
x R' F' L' M' U' M' U R U L' L' R' M'  (13sq) 
x' R' B' R' B' M' B L M U L' L' R' M'  (13sq) 
x L' L' M' U' R' U' M' U R U L' R' M'  (13sq) 
x' R' R' M U' R' U' M' U R U L' R' M'  (13sq) 
x L' R' F' L' M' U' M' U R U L' R' M'  (13sq) 
x' L' R' B' R' B' M' B L M U L' R' M'  (13sq) 
x' L' R' R' M U' R' U' M' U R U R' M'  (13sq) 
x L U' U' M' U R' U' M' U R U R' M'  (13sq) 
x L' L' R' F' L' M' U' M' U R U R' M'  (13sq) 
x' R M' M' F' L' M' U' M' U R U R' M'  (13sq) 
x' L' L' R' B' R' B' M' B L M U R' M'  (13sq) 
x R M' M' B' R' B' M' B L M U R' M'  (13sq) 
x L M' U' L' M' B' M' B L M U R' M'  (13sq) 
x' L' F M' D R' D M D' R D' F' R M'  (13sq) 
x R' R' M' U' R U' M' U R' U L R M'  (13sq) 
x' L' L' M U' R U' M' U R' U L R M'  (13sq) 
x' L R B' L M U' M' U R' U L R M'  (13sq) 
x L R F' R F' M' F L' M' U L R M'  (13sq) 
x' L' U L F M' F' F' M F L' U' R M'  (13sq) 
x' L' U' U' M U R U' M' U R' U R M'  (13sq) 
x R' M' M' B' L M U' M' U R' U R M'  (13sq) 
x' R' M' M' F' R F' M' F L' M' U R M'  (13sq) 
x' L' M U' L M F' M' F L' M' U R M'  (13sq) 
x' M B' R D' M' U M D M' U' L' D M'  (13sq) 
x M D L M B M' B' R' B M B' B' M'  (13sq) 
x M' D L M B' M B R' B M B' B' M'  (13sq) 
x' M U R U M' U' L' M' B M B' B' M'  (13sq) 
x' M' U R U' M U L' M' B M B' B' M'  (13sq) 
x M D M B M' B' R' B M B' L B' M'  (13sq) 
x' R F' R' F M' F' R F' M F' F' L' M'  (13sq) 
x' R D M D M' U M D' M' U' D' L' M'  (13sq) 
x' R B R B M' B' R' B M B' B' L' M'  (13sq) 
x' R B' B' M B' U B M' B' U' B' L' M'  (13sq) 
x L' L' R' M' B U B M' B' U' B' L' M'  (13sq) 
x L' L' R' M' B' U B' M' B U' B L' M'  (13sq) 
x' R B' B' M B U B' M' B U' B L' M'  (13sq) 
x L' R' M' B U B M' B' U' B' L' L' M'  (13sq) 
x' L R M B U B M' B' U' B' L' L' M'  (13sq) 
x L' R' M' B' U B' M' B U' B L' L' M'  (13sq) 
x' L R M B' U B' M' B U' B L' L' M'  (13sq) 
x' R M' U F U' F M F' U F' U' L' M'  (13sq) 
x' R M' U F' U' F' M F U F U' L' M'  (13sq) 
x' R U' U' F M F' U F M' F' U L' M'  (13sq) 
x' R U' U' F' M F U F' M' F U L' M'  (13sq) 
x' R U' M' B R B' M B R' B' U L' M'  (13sq) 
x' R M' U' B U' B M B' U B' U L' M'  (13sq) 
x' R M U' B U' B' M' B U B' U L' M'  (13sq) 
x' R M U' B' U' B M' B' U B U L' M'  (13sq) 
x' R M' U' B' U' B' M B U B U L' M'  (13sq) 
x' F' U F' R U L' B' U B' L U L' M'  (13sq) 
x' F U F M F' U' F' R U' M' U L' M'  (13sq) 
x' F' U F' M F U' F R U' M' U L' M'  (13sq) 
x' R F U F M F' U' F' U' M' U L' M'  (13sq) 
x' R F' U F' M F U' F U' M' U L' M'  (13sq) 
x' R U' F U' F' M F U F' M' U L' M'  (13sq) 
x' R U' F' U' F M F' U F M' U L' M'  (13sq) 
x R' F' R' F' M F R F' M F' F' L M'  (13sq) 
x R' B R B' M B R' B M B' B' L M'  (13sq) 
x R' B' B' M' B' U B M' B' U' B' L M'  (13sq) 
x R' B' B' M' B U B' M' B U' B L M'  (13sq) 
x R' M U F U' F M F' U F' U' L M'  (13sq) 
x R' M U F' U' F' M F U F U' L M'  (13sq) 
x R' M U' B U' B M B' U B' U L M'  (13sq) 
x R' M' U' B U' B' M' B U B' U L M'  (13sq) 
x R' M' U' B' U' B M' B' U B U L M'  (13sq) 
x R' M U' B' U' B' M B U B U L M'  (13sq) 
x R' U' F U' F M' F' U F' M' U L M'  (13sq) 
x R' U' F' U' F' M' F U F M' U L M'  (13sq) 
x' M F L' U M' U M U M' U R U' M'  (13sq) 
x' F R M' F U' F M F' U F' L' U' M'  (13sq) 
x' F R M' F' U' F' M F U F L' U' M'  (13sq) 
x B R' M F U' F M F' U F' L U' M'  (13sq) 
x B R' M F' U' F' M F U F L U' M'  (13sq) 
x' F L' D F' D M D' F D' R M' U' M'  (13sq) 
x' F L' D' F' D' M D F D R M' U' M'  (13sq) 
x B L U B' U M U' B U' R' M U' M'  (13sq) 
x B L U' B' U' M U B U R' M U' M'  (13sq) 
x' R F' U F' L' U R B' U B' R' U M'  (13sq) 
x B' L M B U' B M B' U B' R' U M'  (13sq) 
x B' L M B' U' B' M B U B R' U M'  (13sq) 
x M' B' L U B' U M' U' B U' R' U M'  (13sq) 
x M B' L U B' U' M U B U' R' U M'  (13sq) 
x M B' L U' B' U M U' B U R' U M'  (13sq) 
x M' B' L U' B' U' M' U B U R' U M'  (13sq) 
x' F' L' M' B U' B M B' U B' R U M'  (13sq) 
x' F' L' M' B' U' B' M B U B R U M'  (13sq) 
x M B' M' D L M B' M B R' B' U M'  (13sq) 
x' M F' M' U R U' M U L' M' B' U M'  (13sq) 
x M B' R' B R B' M B R' B' L U M'  (13sq) 
x' L' F' U F' R U L' B' U B' L U M'  (13sq) 
x' L' F U F M F' U' F' R U' M' U M'  (13sq) 
x' L' F' U F' M F U' F R U' M' U M'  (13sq) 
