x2 F' D' F' R M' F' M' F L' U F U  (12sq) 
B' U' B' L U' M' U R' M U F U  (12sq) 
B' L B' R' U M U' R B R' M' U  (12sq) 
L U' R' U M' U' R U' M U' U' R'  (12sq) 
L R M' D M D M' D M D R' R'  (12sq) 
x2 L' R' M D M D M' D M D R' R'  (12sq) 
x2 R' M D M D M' D M D L' R' R'  (12sq) 
x2 R' M' B' R' B' M' B R B L' R' R'  (12sq) 
x2 L' R' M' B' R' B' M' B R B R' R'  (12sq) 
L R M B' R' B' M' B R B R' R'  (12sq) 
x2 R' R' U' L' M' B' M' B R B R' R'  (12sq) 
R' R' D' R' D' M' D L M B R' R'  (12sq) 
L F M F M' B M F' M' B' F' R'  (12sq) 
L D R D M' D' R' D M D' D' R'  (12sq) 
L D' D' M D' B D M' D' B' D' R'  (12sq) 
x2 L' R' R' M' D B D M' D' B' D' R'  (12sq) 
x2 L' R' R' M' D' B D' M' D B' D R'  (12sq) 
L D' D' M D B D' M' D B' D R'  (12sq) 
x2 R' R' M' D B D M' D' B' D' L' R'  (12sq) 
L' L' M D B D M' D' B' D' L' R'  (12sq) 
x2 R' R' M' D' B D' M' D B' D L' R'  (12sq) 
L' L' M D' B D' M' D B' D L' R'  (12sq) 
L' M D B D M' D' B' D' L' L' R'  (12sq) 
L' M D' B D' M' D B' D L' L' R'  (12sq) 
L M' B U B' U M U' B U' B' R'  (12sq) 
L M' B U' B' U' M U B U B' R'  (12sq) 
L B' B' U M U' B U M' U' B R'  (12sq) 
L B' B' U' M U B U' M' U B R'  (12sq) 
L B' M' D R D' M D R' D' B R'  (12sq) 
L M' B' D B' D M D' B D' B R'  (12sq) 
L M B' D B' D' M' D B D' B R'  (12sq) 
L M B' D' B' D M' D' B D B R'  (12sq) 
L M' B' D' B' D' M D B D B R'  (12sq) 
B' L B' M B L' B L B' M' B R'  (12sq) 
L U B U M U' B' U' B' M' B R'  (12sq) 
L U' B U' M U B' U B' M' B R'  (12sq) 
L B' U B' U' M U B U' M' B R'  (12sq) 
L B' U' B' U M U' B U M' B R'  (12sq) 
x2 L' U' R U' M U R' U' M U' U' R  (12sq) 
x2 L' M F' U' U' F' M F U' U' F R  (12sq) 
x2 L' F' R' D' M' D' D' M' D' R F R  (12sq) 
x2 L' D' D' F M F' D' D' F' M F R  (12sq) 
x2 L' F' M' F' M' F' F' M' F' M F R  (12sq) 
x2 L' F M F M' F' F' M F' M F R  (12sq) 
x2 L' D R' D' M D R D M D' D' R  (12sq) 
x2 L' M' B' R' R' B' M' B R' R' B R  (12sq) 
x2 R' U' L' R' M' B' M' B R' R' B R  (12sq) 
R' D' L R M B' M' B R' R' B R  (12sq) 
x2 R' U' R' R' U' M' U L' R' M' B R  (12sq) 
R' D' R' R' D' M' D L R M B R  (12sq) 
x2 D L' M' F M F' R F M' M' F' F'  (12sq) 
U R' U M U' L M F M' M' F' F'  (12sq) 
F L M B R' D M' D' R B' R' D'  (12sq) 
x2 B R U L' M' D M' D' R B' R' D'  (12sq) 
F R D R' F M' F' L M B' R' D'  (12sq) 
F' F' D' L M B M' B' R' B D' D'  (12sq) 
x2 B' B' U' R U M' U' L' M' B D' D'  (12sq) 
x2 B R U R' B M' B' R U' L' M' D'  (12sq) 
F' L M B R' D' M' D R B' R' D  (12sq) 
x2 B' R U L' M' D' M' D R B' R' D  (12sq) 
F' R D R' F' M' F L M B' R' D  (12sq) 
x2 B' R U R' B' M' B R U' L' M' D  (12sq) 
x2 R U R B' M' B' B' M' B' R' U' L'  (12sq) 
x2 R U M U' M' U' U' M' U' M' U' L'  (12sq) 
x2 R U' M' U M' U' U' M U' M' U' L'  (12sq) 
x2 L R M' B' R B' M' B R' B L' L'  (12sq) 
L' R' M B' R B' M' B R' B L' L'  (12sq) 
L' L' D' L M B' M' B R' B L' L'  (12sq) 
x2 L' L' U' R U' M' U L' M' B L' L'  (12sq) 
L' L' R' M B' R B' M' B R' B L'  (12sq) 
x2 R B' B' M' B R B' M' B R' B L'  (12sq) 
x2 L U' L' R' R' M' B' M' B R' B L'  (12sq) 
x2 R M' B' L M U' M' U L' M' B L'  (12sq) 
R' U M' F R' F M F' R F' U' L  (12sq) 
R' B L U M' U' U' M U L' B' L  (12sq) 
R' B' B' M B R B' M' B R' B L  (12sq) 
x2 L' U' L' R' R' M' B' M' B R' B L  (12sq) 
R' M B' L M U' M' U L' M' B L  (12sq) 
x2 M' U R M' U M' U' U' M U L' B'  (12sq) 
M' D L B M' B' R' B' M B M B'  (12sq) 
M' D L B M' B' B' M B R' M B'  (12sq) 
D' L M B D' D' M' D' D' B' R' B  (12sq) 
D' L M B' M' M' B' B' M B' R' B  (12sq) 
D' L M B' U' U' M' U' U' B R' B  (12sq) 
M D' D' M' D L M B' M' B R' B  (12sq) 
M' D' D' M D L M B' M' B R' B  (12sq) 
x2 U' L M F' L' L' R' R' M B R' B  (12sq) 
D' F' L M D B' M' B D' R' D B  (12sq) 
x2 U' B' R B U' M' U B' L' M' D B  (12sq) 
x2 U' R M' B M U' M' U M' B' L' B  (12sq) 
x2 U' R M' B' M U' M' U M' B L' B  (12sq) 
x2 U' R U B' B' M' B' B' U' L' M' B  (12sq) 
x2 U' R U' M' M' U' U' M U' L' M' B  (12sq) 
x2 U' R U' F' F' M' F' F' U L' M' B  (12sq) 
x2 M U' U' M' U R U' M' U L' M' B  (12sq) 
x2 M' U' U' M U R U' M' U L' M' B  (12sq) 
D' L' L' R' M' M' U' M' U L' M' B  (12sq) 
D' R D' L' L' R' R' M U L' M' B  (12sq) 
x2 M' U' L' U' M U R U' M' U M' B  (12sq) 
D' L D M B' M' B M' D' R' M B  (12sq) 
D' L D' M B' M' B M' D R' M B  (12sq) 
x2 D' L' M' F M' F' R F' M F' F' M'  (12sq) 
U' R' U M' U' L M F' M F' F' M'  (12sq) 
