x F R' F' M F R F'  (7sq*) 
x M' M' B R B' M B R' B' M' M'  (11sq) 
x B L M U M' U' L' M' B' M' M'  (11sq) 
x L B R B M' B' R' B' L' M' M'  (11sq) 
x L U' M' U M U M' U' L' M' M'  (11sq) 
x L' B R B M' B' R' B' L M' M'  (11sq) 
x L' U' M' U M U M' U' L M' M'  (11sq) 
x M' U' F M F' U F M' F' M' M'  (11sq) 
x M' U' F' M F U F' M' F M' M'  (11sq) 
x M' U' M B M' B' U B M B' M  (11sq) 
x L F U F' L' B' R' U' R B M  (11sq) 
x M' U' M B' M' B U B' M B M  (11sq) 
x R M U R' U M' U' R U' R' M  (11sq) 
x R M' U R' U' M U R U' R' M  (11sq) 
x L F L' M' U' M U R U' R' M  (11sq) 
x' L B R' B' M B L M U' R' M  (11sq) 
x R' M U R U M' U' R' U' R M  (11sq) 
x L' B L M U M' U' R' U' R M  (11sq) 
x R' M' U R U' M U R' U' R M  (11sq) 
x' L' F R F M' F' L' M' U' R M  (11sq) 
x R' M F' M' F M F M' F' R M  (11sq) 
x R' F' D M D' F D M' D' R M  (11sq) 
x R' F' D' M D F D' M' D R M  (11sq) 
x U M U M' U M U' M' U' U' M  (11sq) 
x M U F U F' M' F U' F' U' M  (11sq) 
x M U F' U F M' F' U' F U' M  (11sq) 
x M' U' B U B' M B U' B' U M  (11sq) 
x M' U' B' U B M B' U' B U M  (11sq) 
x F' F' M' F' U' F' M F U F' M  (11sq) 
x F' R' F M F' R F' M' F' F' M  (11sq) 
x F' F' M' F U' F M F' U F M  (11sq) 
x L M' F U' F' M F U F' L' M  (11sq) 
x L M' F' U' F M F' U F L' M  (11sq) 
x F U F' L' B' R' U' R B L M  (11sq) 
x L' M' F U' F' M F U F' L M  (11sq) 
x L' M' F' U' F M F' U F L M  (11sq) 
x D M' F U' F' M F U F' D' M  (11sq) 
x D M' F' U' F M F' U F D' M  (11sq) 
x D F R' F' M F R F' M' D' M  (11sq) 
x D' M' F U' F' M F U F' D M  (11sq) 
x D' M' F' U' F M F' U F D M  (11sq) 
x D' F R' F' M F R F' M' D M  (11sq) 
x2 M B L F' L F' M F L' F R' U'  (12sq) 
M F M' D' R M' F' M F L' F U'  (12sq) 
x2 B U' R' M F U' M U F' L F U'  (12sq) 
F D' L' D F' M F D' R M' F U'  (12sq) 
