x2 M' M' F M' U M' F M F' U' M F'  (12sq) 
x2 M U' M' U M' F M' U M' U' M F'  (12sq) 
x2 M' F L' M' F U M' U' F' L M F'  (12sq) 
B' L' B D' L' L' R' R' U F' L F  (12sq) 
x2 F' R' M D F' M' M' F D' R M' F  (12sq) 
x2 M' M' F' M' U M' F' M F U' M F  (12sq) 
x2 M U' M' U M' F' M' U M' U' M F  (12sq) 
x2 D F' D L' U M' M' U' L D' F D'  (12sq) 
x2 D F' D' L' U' M' M' U L D F D'  (12sq) 
x2 M D L' D R' F M F' R D' L D'  (12sq) 
x2 D' F' D L' U' M' M' U L D' F D  (12sq) 
x2 D' F' D' L' U M' M' U' L D F D  (12sq) 
x2 L U' F R' F' M' M' F R F' U L'  (12sq) 
x2 L M' F R' D F M' F' D' R F' L'  (12sq) 
x2 L F' L' F U' M' M' U F' L F L'  (12sq) 
x2 L' U' F R' F' M' M' F R F' U L  (12sq) 
x2 L' M' F R' D F M' F' D' R F' L  (12sq) 
x2 R' D L' M' D F M' F' D' R F' L  (12sq) 
R' U R' F U M' U' F' L M F' L  (12sq) 
x2 L' F' L' F U' M' M' U F' L F L  (12sq) 
x2 B' R D' B' M' B D R' B' M' B' B'  (12sq) 
x2 B' M U B M' B' U' M' B' M' B' B'  (12sq) 
x2 B M U B' M' B U' M' B M' B' B'  (12sq) 
x2 U' M' U M' B' B' U' M U M' B' B'  (12sq) 
x2 B' B' U' M' U M' U' M U M' B' B'  (12sq) 
x2 M' M' B M U' B M B' M' U M' B'  (12sq) 
x2 B' U B M' B' L' B' M' B L U' B  (12sq) 
x2 M' M' B' M U' B' M B M' U M' B  (12sq) 
x2 F L U' L F M' F' L' U L' F' M'  (12sq) 
x2 F L' U' L F M' F' L' U L F' M'  (12sq) 
x2 F U' R M' U M' U' R' M U F' M'  (12sq) 
x2 F R' M D F' M' F D' R M' F' M'  (12sq) 
x2 R D L D' B M' B' D L' D' R' M'  (12sq) 
x2 R B D' R D M' D' R' D B' R' M'  (12sq) 
x2 R U M' B' U M' U' B M U' R' M'  (12sq) 
x2 R U' M' B' U' M' U B M U R' M'  (12sq) 
x2 R' D R' B D M' D' B' R D' R M'  (12sq) 
x2 D R' B R' D M' D' R B' R D' M'  (12sq) 
x2 D L D' R B M' B' R' D L' D' M'  (12sq) 
x2 B D' R B D M' D' B' R' D B' M'  (12sq) 
x2 L F L' F U' M' U F' L F' L' M'  (12sq) 
x2 L F U' L F M' F' L' U F' L' M'  (12sq) 
x2 L' L' U' M' U' M' U M U L' L' M'  (12sq) 
x2 L U' F M' U' M' U M F' U L' M'  (12sq) 
x2 L U' F' M' U' M' U M F U L' M'  (12sq) 
x2 L M' U' M U' M U M' M' U L' M'  (12sq) 
x2 L' F L' F U' M' U F' L F' L M'  (12sq) 
x2 L' F U' L F M' F' L' U F' L M'  (12sq) 
x2 L' U' F M' U' M' U M F' U L M'  (12sq) 
x2 L' U' F' M' U' M' U M F U L M'  (12sq) 
x2 L' M' U' M U' M U M' M' U L M'  (12sq) 
x2 M' U B' B' M' U M U' B' B' U' M'  (12sq) 
x2 M' U' M' U' M U M U' M' U' U' M'  (12sq) 
x2 M U M U' M' U M' U M' U' U' M'  (12sq) 
x2 M' U M' U' M' U' M U' U' M U' M'  (12sq) 
x2 U M' B' B' U M' U' B' B' M U' M'  (12sq) 
x2 U' F' F' M' U' M' U M F' F' U M'  (12sq) 
M' D' M D' M D L' L' R' R' U M'  (12sq) 
x2 U' R B' M' B M' B' M B R' U M'  (12sq) 
x2 U' B U' M B' M' B M' U B' U M'  (12sq) 
x2 U' B' U' M B M' B' M' U B U M'  (12sq) 
D' M' D' M' D L' L' R' R' M' U M'  (12sq) 
x2 M' U' B M U' M U M' B' M' U M'  (12sq) 
x2 M' U' B' M U' M U M' B M' U M'  (12sq) 
x2 U' M U' M' U M' U' M U M' U M'  (12sq) 
x2 U' U' M' U M U' M U M' M' U M'  (12sq) 
x2 F' F' U' M' U F' F' M' U' M U M'  (12sq) 
x2 U M U M' U' U' M' M' U' M U M'  (12sq) 
x2 F' F' U M U' F' F' M U' M U M'  (12sq) 
x2 M U' U' M' U M' U' M' U M U M'  (12sq) 
