y2 U2 F' B2 S' U M2 U' F' D2 S  (10s) 
z x2 R2 F2 B' S2 U M2 U' F' D2 S  (10s) 
z2 U2 E2 F S U M2 U' F' D2 S  (10s) 
y x F2 S2 R D E M2 U' F' D2 S  (10s) 
y' x2 D2 L M D E M2 U' F' D2 S  (10s) 
z R2 F U' D2 E2 M2 U' F' D2 S  (10s) 
y x' F2 L U2 D' E' M2 U' F' D2 S  (10s) 
z' x2 L2 B U S2 M2 S2 U' F' D2 S  (10s) 
z' x2 L2 B U' D2 M2 D2 U F' D2 S  (10s) 
z R2 F U E2 M2 D2 U F' D2 S  (10s) 
y x' F2 L D E' M2 D2 U F' D2 S  (10s) 
z' x2 L2 B2 E2 B' D S2 D' F' D2 S  (10s) 
z' M2 E2 R2 B D S2 D' F' D2 S  (10s) 
z' E2 R2 M2 B D S2 D' F' D2 S  (10s) 
z' R2 E2 M2 B D S2 D' F' D2 S  (10s) 
z' x2 E L2 E B D S2 D' F' D2 S  (10s) 
z' R2 M2 E2 B D S2 D' F' D2 S  (10s) 
z' x2 E' L2 E' B D S2 D' F' D2 S  (10s) 
x2 M2 D2 F S D S2 D' F' D2 S  (10s) 
x2 D2 M2 F S D S2 D' F' D2 S  (10s) 
y x' E2 F2 L U E' S2 D' F' D2 S  (10s) 
y x' F2 E2 L U E' S2 D' F' D2 S  (10s) 
y' x' B2 S2 L U S2 D' E' F' D2 S  (10s) 
y x2 D2 R M' U S2 D' E' F' D2 S  (10s) 
z' x2 L2 B D E S2 D' E' F' D2 S  (10s) 
z R2 F U' D2 M2 U' E2 F' D2 S  (10s) 
z' x2 L2 B U E2 M2 U' E2 F' D2 S  (10s) 
y' x B2 R D E' M2 U' E2 F' D2 S  (10s) 
z R2 F U M2 D2 U E2 F' D2 S  (10s) 
y' x E2 B2 R D M2 U' E F' D2 S  (10s) 
y' x B2 E2 R D M2 U' E F' D2 S  (10s) 
y' x B2 R U S2 D U2 E F' D2 S  (10s) 
y' x B2 R U' D2 S2 D' E F' D2 S  (10s) 
y x' F2 L U E2 S2 D' E F' D2 S  (10s) 
z' x2 L2 B D E' S2 D' E F' D2 S  (10s) 
z2 U2 E2 B L E2 L' B' S D2 S  (10s) 
z x2 R2 F S L E2 L' B' S D2 S  (10s) 
x B2 U R M' E2 L' B' S D2 S  (10s) 
x2 M2 D2 B R S2 R' B' S D2 S  (10s) 
x2 D2 M2 B R S2 R' B' S D2 S  (10s) 
x' F2 D L S2 R' M B' S D2 S  (10s) 
z x2 R2 B D M2 D' B2 F S2 D2 S  (10s) 
y2 U2 B R E2 R' B F2 S' D2 S  (10s) 
z' x2 B L2 B U M2 U' F' D2 B' S  (10s) 
z' x2 B2 L2 B U M2 U' F' D2 B2 S  (10s) 
z' x2 B' L2 B U M2 U' F' D2 B S  (10s) 
y x' F2 L U S2 U' R' D U E' S  (10s) 
z x2 L2 M2 F U M2 U' B' U2 E2 S  (10s) 
z2 D2 B S' U M2 U' B' U2 E2 S  (10s) 
y x' F2 L D E M2 U' B' U2 E2 S  (10s) 
z E2 R2 F D S2 D' B' U2 E2 S  (10s) 
z R2 E2 F D S2 D' B' U2 E2 S  (10s) 
y' x B2 R U S2 D' E' B' U2 E2 S  (10s) 
z2 D2 F R E2 R' F' S' U2 E2 S  (10s) 
z2 D2 S' U2 B U' M2 U B' E2 S  (10s) 
x2 E2 B U2 S' U M2 U B' E2 S  (10s) 
y' x B2 R U S2 U' L' D' U' E S  (10s) 
x2 B' D2 B L E2 L' F' R2 F S2  (10s) 
z' x2 S' D2 F2 B L' E2 L F R2 S2  (10s) 
z x2 S' U2 B' S2 L' E2 L F R2 S2  (10s) 
x2 S' R2 F' S L' E2 L F R2 S2  (10s) 
z x2 F R2 S R' S2 R' B M2 B2 S2  (10s) 
z x2 F B2 R2 S R' S2 R' B M2 S2  (10s) 
x2 B' S' R2 S R' S2 R' B M2 S2  (10s) 
z' x2 F' S2 R2 S R' S2 R' B M2 S2  (10s) 
z x2 B' R2 U S2 U' S R2 F M2 S2  (10s) 
z' x2 L2 B U M2 U S2 U2 F' D2 S'  (10s) 
z x2 B2 R2 B D M2 D' F' U2 F2 S'  (10s) 
z x2 S2 R2 B' U' S2 U F D2 M2 S'  (10s) 
z R2 F U M2 U' B' U2 S2 E2 S'  (10s) 
x2 U B' R E' R' E F2 B M2 F2 U'  (11s) 
y2 D B' L E L' E' B' S2 M2 F2 U'  (11s) 
z x2 L B' U M U' M' F' S M2 F2 U'  (11s) 
y' x2 D E B' R E' R' E B' M2 B2 U'  (11s) 
z' x2 R F' S' R E' R' E B' M2 B2 U'  (11s) 
x' B D' L M E' R' E B' M2 B2 U'  (11s) 
x F U' R S L' M' E B' M2 B2 U'  (11s) 
x' B D' L E' R' E M B' M2 B2 U'  (11s) 
z' x2 R B' D M' D' M F' S' M2 B2 U'  (11s) 
z' x' R U' R' E M B' M2 B L B U'  (11s) 
y2 D B' L E L' E' B' M2 F2 S2 U'  (11s) 
y2 D2 F R2 F L' E2 L B' D2 B' U2  (11s) 
z2 D2 F R E2 R S R2 F' E2 S' U2  (11s) 
x2 U' B' E L' S L B2 E' B' M U  (11s) 
z x E B2 D' M E2 L E2 R' B2 F' R2  (11s) 
z' x2 S' D2 B' R2 S2 R' E2 R' B2 F' R2  (11s) 
z' E2 S' D2 F2 B R E2 R' B2 F' R2  (11s) 
z2 S' R2 S M2 F' R E2 R' B2 F' R2  (11s) 
z E2 S' U2 B' S2 R E2 R' B2 F' R2  (11s) 
z2 M2 S' R2 F' S R E2 R' B2 F' R2  (11s) 
z x2 S U2 E2 B F2 L S2 L' B2 F' R2  (11s) 
z' x2 S D2 S2 E2 B' L S2 L' B2 F' R2  (11s) 
z x2 S U2 F2 E2 B L S2 L' B2 F' R2  (11s) 
y2 S L2 M2 F' S L S2 L' B2 F' R2  (11s) 
z' x2 S D2 E2 B' S2 L S2 L' B2 F' R2  (11s) 
S' L2 B2 F S' L S2 L' B2 F' R2  (11s) 
z' x' E' B2 U D2 R M' S2 L' B2 F' R2  (11s) 
z2 x' E' R2 D' E R M' S2 L' B2 F' R2  (11s) 
z x' E' F2 U' E2 R M' S2 L' B2 F' R2  (11s) 
z' x E F2 D U2 L E2 R' M B2 F' R2  (11s) 
y2 x' E R2 U' E' L E2 R' M B2 F' R2  (11s) 
z x E B2 D' E2 L E2 R' M B2 F' R2  (11s) 
x2 R2 M2 F R E S R' S' E' F' R2  (11s) 
z U2 B S' R E S R' S' E' F' R2  (11s) 
x L2 U L M E S R' S' E' F' R2  (11s) 
x2 R2 F R E' S E2 R' S' E' F' R2  (11s) 
L2 M2 F L E S' L' S' E' F' R2  (11s) 
z' x2 D2 B S' L E S' L' S' E' F' R2  (11s) 
x R2 D R M' E S' L' S' E' F' R2  (11s) 
L2 F L E' S' E2 L' S' E' F' R2  (11s) 
x' L2 D R S' E L' M' S' E' F' R2  (11s) 
x' R2 U L S E R' M S' E' F' R2  (11s) 
L2 F L S' E L' E S' E2 F' R2  (11s) 
L2 F L E S' L' E2 S' E F' R2  (11s) 
x2 R2 F R E S R' E2 S' E F' R2  (11s) 
x R2 D R E S' L' S' E' M' F' R2  (11s) 
x L2 U L S E R' E' S' M F' R2  (11s) 
x L2 U L E S R' S' E' M F' R2  (11s) 
z' x2 D2 F D S M D' S2 M' B F2 R2  (11s) 
z' x2 S' D2 F2 B L' E2 L' S2 L2 F R2  (11s) 
z x2 S' U2 B' S2 L' E2 L' S2 L2 F R2  (11s) 
x2 S' R2 F' S L' E2 L' S2 L2 F R2  (11s) 
z x2 D2 F' D2 S U2 L' S2 L E2 F R2  (11s) 
z x2 S U2 E2 B' E2 L' S2 L E2 F R2  (11s) 
S' L2 F' S' E2 L' S2 L E2 F R2  (11s) 
z' x E F2 D' S2 R' M S2 L E2 F R2  (11s) 
z' U2 F' D2 S U2 R' E2 R E2 F R2  (11s) 
z' E2 S' D2 B' E2 R' E2 R E2 F R2  (11s) 
x2 S R2 F' E2 S' R' E2 R E2 F R2  (11s) 
z' x' E' B2 U' M' S2 L' E2 R E2 F R2  (11s) 
z' x' E' B2 U' S2 L' E2 R M' E2 F R2  (11s) 
z x E B2 D U2 L S2 R' S2 M F R2  (11s) 
x E L2 U' E' L S2 R' S2 M F R2  (11s) 
z' x E F2 D' E2 L S2 R' S2 M F R2  (11s) 
z' x E F2 D' S2 R' S2 L E2 M F R2  (11s) 
z x2 U2 F D M' E S' D' M E' B' R2  (11s) 
z' D2 F U S E M' U' M E' B' R2  (11s) 
z x2 D2 B D' U2 S' M' D' M E2 B' R2  (11s) 
z' D2 F D E2 S' M' D' M E2 B' R2  (11s) 
y' x' D2 R U E S' M' D' M E2 B' R2  (11s) 
z' U2 B U S' M U D2 M E2 B' R2  (11s) 
z' D2 F U S E2 M' U' M E2 B' R2  (11s) 
y x U2 R U M' S' D' E M E2 B' R2  (11s) 
z x2 U2 F U S M' U' E2 M E2 B' R2  (11s) 
z' D2 F U S E' M' U' M E B' R2  (11s) 
z' D2 F D M' E' S' D' M E B' R2  (11s) 
y x D2 L D M' S U' M2 E M' B' R2  (11s) 
z' D2 E2 F U S' M' S2 U' M B' R2  (11s) 
x2 R2 B S' U S' M' S2 U' M B' R2  (11s) 
y' x' U2 L D E S' M' S2 U' M B' R2  (11s) 
y x D2 L D M' S' E S2 U' M B' R2  (11s) 
z x2 U2 F2 E2 F' U S M' U' M B' R2  (11s) 
y' x' D U E' F U S M' U' M B' R2  (11s) 
y x D' U' E F U S M' U' M B' R2  (11s) 
z2 R2 B' F2 S U S M' U' M B' R2  (11s) 
