x M2 B2 U M U2 L M' U' M' U R' F U2  (13s) 
x B2 M2 U M U2 L M' U' M' U R' F U2  (13s) 
U2 F' R B2 M' B2 M2 U' M' U R' F U2  (13s) 
U2 B2 F' M' B2 R M2 U' M' U R' F U2  (13s) 
M2 U2 F M F2 R M2 U' M' U R' F U2  (13s) 
U2 M2 F M F2 R M2 U' M' U R' F U2  (13s) 
U2 F M' F2 R U2 M2 U M' U R' F U2  (13s) 
U2 R U M2 U' R' F' M D2 M D2 F U2  (13s) 
x' F2 D M D' M D' R F M F' L' F U2  (13s) 
U' M' U' M' F M2 U' M' U F2 M F U2  (13s) 
x M B2 L U M2 U' R' F M F2 M F U2  (13s) 
x B2 L M U M2 U' R' F M F2 M F U2  (13s) 
x' F2 R F M2 F' L' M' F M F2 M F U2  (13s) 
x' F2 R F' M U2 M F' M F U2 F L' U2  (13s) 
x' F2 R F' M2 D2 M' F' M2 F D2 F L' U2  (13s) 
x' F2 R F' M2 F' M F' M F2 M' F L' U2  (13s) 
x' F2 R F' M F' M2 F' M' F2 M F L' U2  (13s) 
x' F2 R F M2 F' M' F M F2 M F L' U2  (13s) 
x' R2 U L2 B2 L U' M' U L2 R' F L2 U2  (13s) 
x2 R2 F L2 U2 L F' M' F L M' F L2 U2  (13s) 
x R2 D L2 F2 L D' M' D R M2 F L2 U2  (13s) 
