x' D L' F M F M F' M F' R F'  (11sq*) 
F' M F L' F U' M U F' M U' M U L  (14sq) 
F' M' F R' M F' R F' M' F L' M U L  (14sq) 
F' M' F L' U' L M F' M' F L' M U L  (14sq) 
R' M D L' F M F M F' M F' R F' L  (14sq) 
L' F R' M F M F M F' M F' R F' L  (14sq) 
L' F L' U M U M U' M U' L M F' L  (14sq) 
F M' U M U M' U' M' U' F M' F' F' M'  (14sq) 
F L' M' U' F U' M' U F' M' U L F' M'  (14sq) 
M F' M' F M' F M' U' F M' F' U F' M'  (14sq) 
M' F U' F M F M' F' M' F' M' U F' M'  (14sq) 
F R' F' D F' M' F D' M' F R M' F' M'  (14sq) 
M' F U' M' U M F U M' U' F' M' F' M'  (14sq) 
F U' M U' M U F' M F M U M F' M'  (14sq) 
M' F M F M F M U' F' M' F U F M'  (14sq) 
x2 B' M' B L' D' R D' M' D L' M F R M'  (14sq) 
x2 L' B L' D M D M D' M D' R D' R M'  (14sq) 
L F' M' F' M' U' F' M' F U F' F' L' M'  (14sq) 
L F' M' F' M' F' F' U' F M' F' U L' M'  (14sq) 
L' F' M' F' M' U' F' M' F U F' F' L M'  (14sq) 
L' F' M' F' M' F' F' U' F M' F' U L M'  (14sq) 
M' F' M F' M F M F U' F M' F' U M'  (14sq) 
D' D' F' M' F D' D' M' U' F M' F' U M'  (14sq) 
F M F M' F' F' M' M' U' F M' F' U M'  (14sq) 
D' D' F M F' D' D' M U' F M' F' U M'  (14sq) 
