M D L' F M F M F' M F' R F'  (12sq*) 
x U' L M F' M' F M' F M' F' L' U' M' U' U'  (15sq) 
x U' L' M F' M' F M' F M' F' L U' M' U' U'  (15sq) 
x U' R U' M' U M' U M' U' R' M U' M' U' U'  (15sq) 
x U R M U' M' U M' U M' U' R' U M' U' U'  (15sq) 
x U M' M' F' M' F M' F M' F' M' U M' U' U'  (15sq) 
x U' F M F' U M F' M F M U' U' M U' U'  (15sq) 
x U F M F M' M' F' M' F' R U M' U' R' U'  (15sq) 
x U R M U' M' U' U' M U' M' U M U' R' U'  (15sq) 
x U R U' F' R' F' M' M' F R F M' U R' U'  (15sq) 
x U M U' M U R U M U M U M U R' U'  (15sq) 
x U' U' F U M' U' F' U' M' F U M' U' F' U'  (15sq) 
x F U' M' U F' U M' F R U M' U' R' F' U'  (15sq) 
x L R F U B U F' B' U M U' R' U' L' U'  (15sq) 
x F U' M' U F' U L M' U' F M' F' U L' U'  (15sq) 
x' L' M' F' U L' U L' B' D' B' R B' L B' U'  (15sq) 
x R' U' B R' M U L' B' D' B' R B' L B' U'  (15sq) 
x R' U' B L' B R' M B' D' B' R B' L B' U'  (15sq) 
x R' U' B L' B L' D' F' D' L M B' L B' U'  (15sq) 
x' R' D' F L' F L' U' B' U' R U' R M' B' U'  (15sq) 
x R U L B U B' U L' M U' R' B' U' B U'  (15sq) 
x M U M' U' M' U F M F M F M F M' U'  (15sq) 
x U M U' M U M F M F M F M F M' U'  (15sq) 
x U R U M' M' D' D' M' U' M D' D' R' M' U'  (15sq) 
x U R U' M' D' D' M' M' U M D' D' R' M' U'  (15sq) 
x U R U M U' U' M' M' U' M' U' U' R' M' U'  (15sq) 
x U R U M' M' U' U' M U' M' U' U' R' M' U'  (15sq) 
x U' U' F M F' F' M' M' U M' U' F U' M' U'  (15sq) 
x M U' M F M F' M F' M F U' M U' M' U'  (15sq) 
x F M F M F M F' U' M' U F' F' U M' U'  (15sq) 
x U' F' M' F U M U' M' U F M' F' U M' U'  (15sq) 
x F' M' F' U M U' F' F' M' F M' F' U M' U'  (15sq) 
x F U' M' U F' R M U' M' U R' M' U M' U'  (15sq) 
x U M U' M U F' M' F' M' F' M' F' M' M' U'  (15sq) 
x F M' U' F' M' F U' M' U' M' U' F' U M U'  (15sq) 
x M U' M' U M' U F' M' F M' F M' F' M U'  (15sq) 
