x D' M' D' D' L' F' M F R M F'  (11sq*) 
R M' D' M' D' D' L' F' M F R M F' L'  (14sq) 
x2 L F' M' F' F' R' M F' M F R M F' L'  (14sq) 
x2 L' F U' M' U' U' M' M' U' F' U M U' L  (14sq) 
x2 F' M F L' U' M' M' F U' M' U F' U L  (14sq) 
L' B' M' B' B' L' D' M D L' R' R' F' L  (14sq) 
x2 L' F' M' U' F M F' U F' M' F' M' F' L  (14sq) 
x2 L' F' M' F' F' L' U' M U L M' M' F' L  (14sq) 
x2 R' M D' M' D' D' L' F' M F R M F' L  (14sq) 
x2 L' F' M' F' F' R' M F' M F R M F' L  (14sq) 
R' U' M B' U R' U' M' U L F' U F L  (14sq) 
